"V1","V2","V3","V4","V5","V6"
0.4,0.25,0.1,0.25,0.26,0.18
0.5,0.15,0.3,0.225,0.26,0.13
0.2,0.25,0.2,0.375,0.24,0.19
0.1,0.2,0.133333333333333,0.25,0.16,0.22
0.2,0.1,0.133333333333333,0.2,0.22,0.18
0.1,0.35,0.366666666666667,0.3,0.16,0.26
0.1,0.25,0.266666666666667,0.125,0.28,0.27
0.2,0.1,0.0666666666666667,0.15,0.16,0.16
0.1,0.2,0.2,0.25,0.22,0.16
0.1,0.15,0.333333333333333,0.15,0.14,0.22
0,0.25,0.2,0.125,0.32,0.11
0.2,0.3,0.1,0.225,0.26,0.17
0.4,0.25,0.166666666666667,0.175,0.24,0.19
0.1,0.2,0.2,0.25,0.24,0.18
0.2,0.2,0.1,0.25,0.24,0.18
0.3,0.2,0.233333333333333,0.325,0.26,0.28
0,0.15,0.266666666666667,0.125,0.3,0.25
0.2,0.1,0.1,0.2,0.1,0.22
0.3,0.45,0.2,0.225,0.16,0.26
0.2,0.15,0.2,0.175,0.2,0.17
0.3,0.05,0.133333333333333,0.175,0.28,0.22
0.1,0.1,0.133333333333333,0.1,0.28,0.18
0.2,0.4,0.166666666666667,0.225,0.36,0.19
0.2,0.35,0.133333333333333,0.25,0.14,0.23
0.1,0.15,0.233333333333333,0.25,0.2,0.24
0.1,0.15,0.166666666666667,0.3,0.2,0.18
0.2,0.3,0.333333333333333,0.2,0.24,0.17
0.4,0.25,0.3,0.275,0.26,0.17
0.3,0.35,0.233333333333333,0.2,0.24,0.21
0.1,0.05,0.0666666666666667,0.125,0.22,0.19
0.2,0.25,0.333333333333333,0.25,0.12,0.17
0.2,0.1,0.2,0.275,0.16,0.13
0.1,0.3,0.166666666666667,0.175,0.26,0.15
0,0.2,0.233333333333333,0.275,0.26,0.24
0.4,0.15,0.266666666666667,0.2,0.16,0.21
0.3,0.3,0.1,0.1,0.14,0.16
0.1,0.2,0.166666666666667,0.1,0.26,0.17
0.2,0.15,0.2,0.175,0.18,0.18
0.1,0.2,0.0333333333333333,0.125,0.18,0.16
0.1,0.3,0.0666666666666667,0.2,0.22,0.23
0.2,0.2,0.366666666666667,0.125,0.1,0.22
0.5,0.05,0.0333333333333333,0.275,0.18,0.19
0.3,0.1,0.166666666666667,0.2,0.14,0.18
0.1,0.25,0.2,0.2,0.14,0.24
0.4,0.05,0.133333333333333,0.175,0.24,0.22
0.1,0.15,0.3,0.175,0.2,0.21
0.2,0.15,0.2,0.175,0.22,0.14
0.5,0.2,0.3,0.175,0.18,0.19
0.2,0.15,0.333333333333333,0.15,0.2,0.21
0.2,0.3,0.233333333333333,0.275,0.16,0.22
0.3,0.3,0.266666666666667,0.3,0.28,0.26
0.2,0.15,0.133333333333333,0.2,0.18,0.18
0.1,0.2,0.133333333333333,0.25,0.3,0.2
0.5,0.25,0.166666666666667,0.325,0.16,0.18
0.2,0.1,0.2,0.2,0.26,0.27
0.1,0.15,0.2,0.25,0.16,0.25
0.3,0.2,0.2,0.15,0.18,0.3
0.3,0.25,0.233333333333333,0.175,0.18,0.18
0.1,0.1,0.133333333333333,0.25,0.22,0.22
0.1,0.3,0.233333333333333,0.225,0.32,0.21
0.2,0.2,0.2,0.275,0.16,0.17
0.1,0.1,0.2,0.15,0.26,0.26
0.2,0.15,0.166666666666667,0.125,0.28,0.22
0.4,0.3,0.2,0.1,0.1,0.23
0.2,0.45,0.233333333333333,0.175,0.24,0.14
0.2,0.3,0.2,0.175,0.12,0.22
0.2,0.3,0.366666666666667,0.2,0.18,0.18
0.5,0.1,0.1,0.25,0.14,0.2
0.3,0.15,0.2,0.225,0.12,0.21
0.1,0.2,0.166666666666667,0.2,0.12,0.22
0.1,0,0.133333333333333,0.25,0.2,0.18
0.1,0.35,0.2,0.3,0.18,0.31
0.2,0.35,0.1,0.175,0.22,0.27
0.2,0.15,0.266666666666667,0.175,0.2,0.14
0.2,0.15,0.0666666666666667,0.2,0.16,0.19
0.1,0.25,0.233333333333333,0.175,0.16,0.22
0.1,0.25,0.1,0.225,0.2,0.2
0.3,0.25,0.2,0.15,0.26,0.19
0.3,0.15,0.133333333333333,0.275,0.26,0.18
0.5,0.2,0.2,0.225,0.32,0.22
0.3,0.25,0.166666666666667,0.15,0.24,0.26
0.5,0.1,0.133333333333333,0.325,0.24,0.32
0.3,0.1,0.266666666666667,0.15,0.2,0.2
0.4,0.3,0.233333333333333,0.175,0.24,0.17
0.1,0.15,0.266666666666667,0.15,0.18,0.22
0.4,0.1,0.266666666666667,0.25,0.12,0.2
0.1,0.25,0.233333333333333,0.3,0.18,0.15
0.2,0.25,0.266666666666667,0.25,0.2,0.19
0.4,0.25,0.2,0.1,0.16,0.21
0.2,0.35,0.166666666666667,0.175,0.14,0.21
0.1,0.1,0.2,0.15,0.18,0.2
0.1,0.1,0.233333333333333,0.1,0.2,0.28
0.2,0.3,0.2,0.15,0.14,0.23
0.2,0.4,0.1,0.25,0.1,0.19
0.2,0,0.4,0.175,0.12,0.19
0.2,0.35,0.233333333333333,0.225,0.22,0.24
0.3,0.15,0.133333333333333,0.175,0.18,0.14
0,0.05,0.3,0.15,0.08,0.25
0.2,0.2,0.2,0.325,0.26,0.17
0.1,0.3,0.166666666666667,0.375,0.16,0.17
0.2,0.15,0.133333333333333,0.15,0.14,0.12
0.1,0,0.2,0.1,0.2,0.18
0.1,0.25,0.233333333333333,0.125,0.2,0.23
0.3,0.25,0.233333333333333,0.225,0.16,0.27
0.2,0.2,0.166666666666667,0.1,0.22,0.2
0.3,0.15,0.2,0.25,0.2,0.2
0.2,0.1,0.233333333333333,0.175,0.16,0.25
0.2,0.15,0.166666666666667,0.125,0.1,0.14
0.3,0.25,0.166666666666667,0.225,0.28,0.16
0.2,0.2,0.266666666666667,0.125,0.24,0.25
0,0.25,0.166666666666667,0.175,0.18,0.19
0.2,0.15,0.233333333333333,0.2,0.16,0.23
0,0.2,0.266666666666667,0.25,0.14,0.25
0.1,0.35,0.166666666666667,0.225,0.24,0.17
0.4,0.3,0.133333333333333,0.15,0.14,0.16
0,0.2,0.266666666666667,0.2,0.22,0.2
0.4,0.15,0.1,0.175,0.2,0.15
0.2,0.1,0.166666666666667,0.175,0.3,0.24
0.1,0.1,0.2,0.225,0.26,0.2
0.4,0.25,0.166666666666667,0.3,0.26,0.2
0.3,0.2,0.2,0.175,0.2,0.17
0.1,0.15,0.4,0.15,0.3,0.28
0.3,0.15,0.166666666666667,0.15,0.12,0.17
0.2,0.2,0.2,0.125,0.18,0.21
0,0.15,0.0666666666666667,0.075,0.22,0.21
0.1,0.2,0.2,0.3,0.22,0.19
0.2,0.2,0.233333333333333,0.15,0.1,0.26
0.2,0.15,0.166666666666667,0.275,0.24,0.25
0.1,0.25,0.166666666666667,0.175,0.18,0.17
0.3,0.05,0.266666666666667,0.15,0.24,0.24
0,0.45,0.2,0.2,0.2,0.23
0.1,0.2,0.133333333333333,0.125,0.22,0.28
0.5,0.05,0.1,0.3,0.18,0.18
0.1,0.15,0.133333333333333,0.225,0.1,0.15
0.3,0.25,0.3,0.175,0.22,0.21
0.2,0.2,0.2,0.2,0.18,0.15
0.1,0.2,0.133333333333333,0.15,0.14,0.2
0.2,0.2,0.3,0.05,0.14,0.17
0.2,0.1,0.2,0.3,0.2,0.22
0.3,0.15,0.133333333333333,0.15,0.1,0.11
0.5,0.35,0.266666666666667,0.225,0.18,0.2
0.1,0.3,0.133333333333333,0.15,0.16,0.19
0.2,0.2,0.2,0.225,0.24,0.22
0.2,0.2,0.3,0.325,0.16,0.15
0.2,0.25,0.2,0.15,0.2,0.19
0.4,0.15,0.166666666666667,0.275,0.18,0.21
0.4,0.3,0.333333333333333,0.175,0.26,0.17
0.4,0.15,0.266666666666667,0.15,0.22,0.17
0.2,0.2,0.2,0.225,0.22,0.2
0.4,0.15,0.133333333333333,0.25,0.2,0.2
0.1,0.2,0.166666666666667,0.15,0.18,0.2
0.4,0.15,0.2,0.2,0.18,0.19
0.2,0.15,0.133333333333333,0.2,0.16,0.24
0.3,0.2,0.2,0.2,0.12,0.21
0.1,0.25,0.2,0.1,0.3,0.2
0.1,0.2,0.2,0.125,0.2,0.17
0.3,0.1,0.233333333333333,0.2,0.28,0.16
0.1,0.2,0.233333333333333,0.125,0.18,0.23
0.2,0.1,0.133333333333333,0.125,0.14,0.21
0.2,0.2,0.133333333333333,0.225,0.14,0.18
0.1,0.3,0.166666666666667,0.175,0.2,0.23
0.3,0.25,0.3,0.225,0.18,0.2
0.1,0.2,0.233333333333333,0.35,0.2,0.18
0.6,0.2,0.233333333333333,0.225,0.32,0.22
0.3,0.05,0.0333333333333333,0.15,0.22,0.26
0.3,0.35,0.333333333333333,0.15,0.08,0.24
0.1,0.15,0.166666666666667,0.175,0.24,0.26
0.3,0.1,0.2,0.15,0.36,0.18
0.2,0.35,0.266666666666667,0.275,0.28,0.25
0.3,0.2,0.166666666666667,0.225,0.14,0.24
0.1,0.1,0.2,0.225,0.24,0.17
0.2,0.35,0.1,0.175,0.12,0.12
0.1,0.25,0.233333333333333,0.275,0.14,0.18
0.4,0.35,0.166666666666667,0.25,0.18,0.2
0.1,0.45,0.233333333333333,0.175,0.22,0.2
0.4,0.2,0.1,0.225,0.16,0.26
0.3,0.15,0.166666666666667,0.25,0.3,0.23
0.1,0.3,0.166666666666667,0.2,0.22,0.21
0.3,0.2,0.1,0.225,0.2,0.22
0.2,0.1,0.2,0.175,0.32,0.22
0.1,0,0.166666666666667,0.2,0.26,0.17
0.3,0.2,0.133333333333333,0.125,0.26,0.28
0.1,0.25,0.366666666666667,0.2,0.2,0.17
0.1,0.25,0.166666666666667,0.125,0.2,0.13
0.2,0.3,0.3,0.225,0.18,0.19
0.2,0.15,0.1,0.175,0.16,0.24
0.2,0.35,0.266666666666667,0.25,0.16,0.19
0,0.2,0.166666666666667,0.175,0.16,0.21
0.2,0.4,0.233333333333333,0.2,0.18,0.2
0.5,0.2,0.3,0.15,0.22,0.17
0.2,0,0.1,0.275,0.28,0.17
0.2,0.2,0.133333333333333,0.3,0.18,0.17
0.1,0.3,0.166666666666667,0.15,0.16,0.23
0,0.2,0.2,0.175,0.26,0.23
0.3,0.05,0.2,0.15,0.28,0.17
0.2,0.45,0.166666666666667,0.25,0.32,0.18
0.4,0.2,0.266666666666667,0.15,0.18,0.19
0.4,0.25,0.266666666666667,0.2,0.14,0.17
0.1,0.25,0.133333333333333,0.15,0.22,0.13
0.2,0.35,0.133333333333333,0.225,0.32,0.25
0.2,0.1,0.233333333333333,0.175,0.18,0.15
0.3,0.25,0.0666666666666667,0.175,0.18,0.24
0.1,0,0.2,0.225,0.22,0.2
0.1,0.25,0.233333333333333,0.275,0.12,0.17
0.2,0.2,0.233333333333333,0.3,0.1,0.19
0.2,0.3,0.266666666666667,0.225,0.08,0.21
0,0.1,0.166666666666667,0.15,0.32,0.25
0.1,0.2,0.166666666666667,0.175,0.2,0.14
0,0.2,0.166666666666667,0.175,0.22,0.18
0.1,0.15,0.166666666666667,0.325,0.08,0.2
0.1,0.25,0.233333333333333,0.15,0.16,0.24
0.3,0.25,0.4,0.175,0.12,0.26
0.1,0.05,0.133333333333333,0.25,0.1,0.17
0.2,0.15,0.2,0.2,0.2,0.2
0.2,0.15,0.1,0.1,0.16,0.19
0,0.15,0.133333333333333,0.125,0.18,0.17
0.1,0.15,0.233333333333333,0.15,0.18,0.16
0.2,0.05,0.266666666666667,0.125,0.18,0.24
0.4,0.2,0.2,0.175,0.1,0.19
0.2,0.35,0.2,0.3,0.18,0.26
0.3,0.25,0.166666666666667,0.125,0.18,0.24
0,0.3,0.233333333333333,0.3,0.12,0.16
0.3,0.2,0.266666666666667,0.25,0.18,0.19
0.2,0.15,0.3,0.275,0.18,0.25
0.2,0.15,0.366666666666667,0.325,0.24,0.13
0.4,0.2,0.266666666666667,0.175,0.16,0.19
0.2,0.25,0.233333333333333,0.125,0.24,0.16
0.2,0.3,0.4,0.2,0.22,0.15
0.2,0.25,0.2,0.35,0.22,0.18
0.3,0.3,0.166666666666667,0.275,0.24,0.26
0.2,0.25,0.266666666666667,0.3,0.22,0.18
0.4,0.15,0.166666666666667,0.225,0.34,0.21
0.4,0.15,0.133333333333333,0.175,0.26,0.24
0.2,0.25,0.333333333333333,0.25,0.18,0.25
0.2,0.1,0.166666666666667,0.175,0.18,0.2
0.3,0.15,0.233333333333333,0.05,0.12,0.15
0.1,0.25,0.0666666666666667,0.1,0.24,0.22
0.1,0.35,0.233333333333333,0.25,0.18,0.15
0.4,0.3,0.2,0.3,0.12,0.19
0.3,0.15,0.266666666666667,0.175,0.18,0.16
0.2,0.15,0.233333333333333,0.25,0.18,0.2
0.4,0.1,0.3,0.25,0.16,0.14
0.3,0.35,0.166666666666667,0.25,0.2,0.19
0.2,0.35,0.266666666666667,0.2,0.1,0.22
0.2,0.25,0.333333333333333,0.125,0.2,0.2
0.3,0.15,0.266666666666667,0.175,0.18,0.27
0.3,0.35,0.2,0.15,0.18,0.24
0.3,0.05,0.266666666666667,0.15,0.2,0.25
0.6,0.25,0.166666666666667,0.1,0.2,0.18
0.4,0.25,0.133333333333333,0.15,0.22,0.22
0.2,0.2,0.3,0.2,0.16,0.22
0.3,0.25,0.2,0.225,0.2,0.15
0.1,0.2,0.166666666666667,0.175,0.24,0.19
0.3,0.1,0.266666666666667,0.2,0.26,0.25
0,0.2,0.2,0.25,0.22,0.2
0.2,0.1,0.1,0.225,0.2,0.2
0.3,0.25,0.133333333333333,0.25,0.18,0.21
0.4,0.25,0.133333333333333,0.2,0.26,0.2
0.3,0.15,0.2,0.25,0.22,0.29
0.1,0.2,0.166666666666667,0.175,0.16,0.17
0.2,0.3,0.166666666666667,0.325,0.2,0.28
0.1,0.3,0.166666666666667,0.275,0.26,0.21
0.3,0.3,0.333333333333333,0.325,0.22,0.15
0.3,0.15,0.2,0.1,0.22,0.19
0.1,0.25,0.2,0.15,0.22,0.19
0.1,0.35,0.133333333333333,0.225,0.28,0.18
0.3,0.05,0.4,0.325,0.2,0.17
0.1,0.25,0.233333333333333,0.125,0.2,0.18
0.6,0.2,0.2,0.175,0.2,0.12
0.4,0.25,0.2,0.225,0.22,0.19
0.2,0.3,0.233333333333333,0.175,0.2,0.24
0.1,0.2,0.133333333333333,0.125,0.12,0.25
0.1,0.15,0.3,0.3,0.14,0.18
0.3,0.3,0.266666666666667,0.175,0.18,0.21
0.3,0.25,0.266666666666667,0.225,0.1,0.21
0.1,0.15,0.133333333333333,0.2,0.14,0.26
0.2,0.2,0.2,0.175,0.28,0.24
0.2,0.1,0.266666666666667,0.15,0.26,0.25
0.1,0.05,0.366666666666667,0.2,0.16,0.12
0.3,0.15,0.2,0.3,0.14,0.19
0.2,0.1,0.166666666666667,0.275,0.16,0.14
0.2,0.25,0.133333333333333,0.125,0.26,0.19
0.2,0.3,0.2,0.125,0.2,0.23
0.2,0.2,0.233333333333333,0.125,0.2,0.25
0.1,0.15,0.2,0.3,0.22,0.2
0.1,0.15,0.2,0.125,0.22,0.14
0.1,0.1,0.266666666666667,0.1,0.16,0.24
0.2,0.15,0.266666666666667,0.1,0.3,0.2
0.1,0.25,0.166666666666667,0.175,0.16,0.19
0.2,0.35,0.2,0.15,0.26,0.2
0.1,0.3,0.2,0.225,0.18,0.2
0.5,0.05,0.166666666666667,0.2,0.22,0.18
0.2,0.2,0.333333333333333,0.075,0.24,0.18
0.2,0.15,0.2,0.25,0.16,0.2
0.2,0.3,0.2,0.25,0.16,0.16
0.1,0.15,0.166666666666667,0.325,0.2,0.16
0.1,0.15,0.233333333333333,0.15,0.3,0.2
0.2,0.15,0.133333333333333,0.2,0.28,0.15
0.1,0.05,0.133333333333333,0.075,0.28,0.29
0,0.1,0.266666666666667,0.1,0.24,0.29
0.1,0.15,0.0666666666666667,0.15,0.24,0.22
0.3,0.25,0.166666666666667,0.225,0.16,0.2
0,0.2,0.133333333333333,0.2,0.26,0.23
0.1,0.2,0.2,0.15,0.16,0.16
0.2,0.3,0.166666666666667,0.15,0.18,0.25
0.1,0,0.2,0.225,0.2,0.17
0.1,0.25,0.366666666666667,0.1,0.22,0.18
0.1,0.15,0.166666666666667,0.2,0.2,0.18
0.1,0.2,0.133333333333333,0.2,0.16,0.19
0,0.2,0.166666666666667,0.275,0.2,0.22
0.1,0.1,0.266666666666667,0.2,0.1,0.25
0.2,0.2,0.2,0.175,0.18,0.27
0.2,0.3,0.166666666666667,0.25,0.2,0.15
0.3,0.2,0.333333333333333,0.125,0.1,0.21
0.3,0.2,0.3,0.225,0.26,0.2
0.3,0.35,0.166666666666667,0.075,0.14,0.22
0.3,0.05,0.166666666666667,0.175,0.16,0.3
0.1,0.25,0.0333333333333333,0.15,0.2,0.17
0.2,0.15,0.2,0.2,0.18,0.21
0.3,0.2,0.133333333333333,0.225,0.22,0.23
0.4,0.25,0.133333333333333,0.35,0.16,0.2
0.2,0.4,0.133333333333333,0.225,0.28,0.16
0.2,0.1,0.166666666666667,0.25,0.2,0.17
0.1,0.1,0.2,0.25,0.26,0.24
0.2,0.2,0.133333333333333,0.275,0.2,0.19
0.3,0.4,0.233333333333333,0.175,0.26,0.17
0,0.35,0.133333333333333,0.175,0.26,0.16
0.1,0.15,0.266666666666667,0.25,0.18,0.14
0.1,0.25,0.333333333333333,0.225,0.2,0.23
0.2,0.2,0.266666666666667,0.175,0.28,0.19
0,0.15,0.2,0.15,0.22,0.18
0.2,0.25,0.2,0.175,0.24,0.21
0.2,0.2,0.266666666666667,0.2,0.24,0.23
0.1,0.05,0.1,0.275,0.22,0.21
0.3,0.3,0.166666666666667,0.225,0.2,0.21
0.1,0.1,0.166666666666667,0.1,0.16,0.19
0.5,0.35,0.2,0.1,0.16,0.19
0.4,0.25,0.2,0.175,0.16,0.15
0.1,0.15,0.2,0.225,0.18,0.2
0.2,0.35,0.233333333333333,0.225,0.12,0.22
0.1,0.4,0.133333333333333,0.25,0.12,0.23
0.1,0.1,0.166666666666667,0.125,0.24,0.18
0.2,0.15,0.133333333333333,0.3,0.16,0.16
0,0.25,0.233333333333333,0.175,0.12,0.23
0,0.3,0.166666666666667,0.225,0.1,0.14
0.2,0.25,0.1,0.125,0.28,0.2
0.2,0.15,0.133333333333333,0.175,0.24,0.16
0,0.1,0.166666666666667,0.225,0.28,0.15
0.2,0.3,0.266666666666667,0.225,0.24,0.21
0.2,0.3,0.2,0.2,0.28,0.21
0.3,0.2,0.366666666666667,0.125,0.2,0.14
0.3,0.15,0.1,0.175,0.28,0.25
0.2,0.2,0.133333333333333,0.175,0.2,0.11
0.6,0.25,0.266666666666667,0.125,0.26,0.2
0.2,0.5,0.2,0.375,0.26,0.19
0,0.55,0.2,0.225,0.18,0.28
0.2,0.15,0.133333333333333,0.25,0.18,0.18
0.1,0.1,0.166666666666667,0.375,0.2,0.2
0.3,0.3,0.133333333333333,0.25,0.22,0.21
0.4,0.2,0.2,0.225,0.08,0.23
0,0.25,0.233333333333333,0.4,0.24,0.21
0.1,0.15,0.233333333333333,0.275,0.3,0.24
0.3,0.3,0.2,0.125,0.22,0.16
0.1,0.35,0.266666666666667,0.225,0.22,0.2
0,0.2,0.233333333333333,0.25,0.12,0.13
0.3,0.25,0.233333333333333,0.15,0.2,0.25
0.2,0.2,0.333333333333333,0.15,0.22,0.18
0.2,0.35,0.166666666666667,0.35,0.2,0.21
0.2,0.15,0.133333333333333,0.225,0.28,0.24
0.1,0.25,0.2,0.325,0.22,0.32
0.3,0.2,0.333333333333333,0.1,0.18,0.22
0.1,0.25,0.166666666666667,0.2,0.12,0.19
0.2,0.25,0.266666666666667,0.15,0.18,0.3
0.2,0.25,0.1,0.175,0.14,0.19
0.1,0.2,0.133333333333333,0.2,0.1,0.15
0.3,0.2,0.133333333333333,0.25,0.14,0.22
0.1,0.1,0.233333333333333,0.25,0.14,0.22
0.1,0.1,0.233333333333333,0.2,0.12,0.22
0,0.4,0.2,0.1,0.4,0.28
0.2,0.2,0.2,0.3,0.08,0.24
0.3,0.15,0.0666666666666667,0.15,0.14,0.23
0.5,0.15,0.3,0.225,0.16,0.21
0,0.1,0.0666666666666667,0.175,0.24,0.13
0.1,0.1,0.4,0.3,0.22,0.19
0.1,0.2,0.2,0.225,0.16,0.16
0.3,0.25,0.233333333333333,0.15,0.08,0.31
0.2,0.3,0.233333333333333,0.125,0.14,0.21
0,0.1,0.133333333333333,0.15,0.06,0.19
0.5,0.25,0.1,0.225,0.12,0.24
0.1,0.05,0.2,0.175,0.2,0.14
0.3,0.4,0.266666666666667,0.275,0.2,0.2
0.2,0.25,0.133333333333333,0.25,0.28,0.18
0.5,0.35,0.166666666666667,0.125,0.18,0.15
0.2,0.1,0.233333333333333,0.175,0.2,0.17
0.1,0.2,0.266666666666667,0.2,0.16,0.22
0.1,0.15,0.3,0.25,0.22,0.19
0,0.15,0.2,0.2,0.2,0.23
0.3,0.25,0.133333333333333,0.175,0.22,0.18
0.3,0.1,0.266666666666667,0.175,0.2,0.21
0.2,0.3,0.266666666666667,0.15,0.2,0.19
0.3,0.15,0.133333333333333,0.275,0.2,0.23
0.1,0.15,0.266666666666667,0.3,0.3,0.18
0.3,0.25,0.2,0.225,0.22,0.17
0.2,0.1,0.133333333333333,0.225,0.16,0.21
0.3,0.2,0.233333333333333,0.175,0.24,0.2
0.1,0.4,0.266666666666667,0.4,0.22,0.22
0.3,0.05,0.166666666666667,0.125,0.18,0.23
0.2,0.25,0.233333333333333,0.025,0.1,0.24
0.1,0.05,0.266666666666667,0.275,0.24,0.22
0.3,0.2,0.233333333333333,0.025,0.22,0.21
0,0.15,0.133333333333333,0.225,0.24,0.24
0.3,0.15,0.233333333333333,0.15,0.24,0.23
0.3,0.15,0.266666666666667,0.15,0.16,0.22
0.1,0.05,0.2,0.275,0.2,0.22
0,0.15,0.266666666666667,0.175,0.16,0.2
0,0.2,0.166666666666667,0.2,0.1,0.23
0.2,0.3,0.233333333333333,0.3,0.06,0.27
0.1,0.25,0.166666666666667,0.175,0.12,0.22
0.4,0.05,0.166666666666667,0.25,0.16,0.24
0.1,0.15,0.133333333333333,0.175,0.2,0.25
0.3,0.35,0.2,0.25,0.14,0.2
0.3,0.3,0.166666666666667,0.15,0.1,0.16
0.1,0.25,0.166666666666667,0.2,0.2,0.12
0.2,0.15,0.2,0.175,0.28,0.18
0.5,0.2,0.233333333333333,0.275,0.28,0.16
0.4,0.1,0.166666666666667,0.15,0.2,0.16
0.3,0.3,0.266666666666667,0.15,0.12,0.18
0.1,0.25,0.233333333333333,0.15,0.26,0.18
0.1,0.1,0.133333333333333,0.25,0.22,0.18
0.3,0.2,0.233333333333333,0.1,0.18,0.15
0.2,0.25,0.333333333333333,0.35,0.2,0.27
0,0.25,0.266666666666667,0.225,0.22,0.23
0.4,0.4,0.0666666666666667,0.075,0.12,0.22
0.1,0.2,0.266666666666667,0.1,0.18,0.17
0.1,0.2,0.2,0.15,0.22,0.17
0.1,0.2,0.1,0.1,0.28,0.2
0,0.1,0.166666666666667,0.025,0.24,0.21
0.1,0.3,0.2,0.2,0.22,0.21
0.2,0.05,0.2,0.175,0.2,0.22
0,0.15,0.2,0.25,0.24,0.2
0.1,0.15,0.233333333333333,0.175,0.2,0.19
0.1,0.15,0.166666666666667,0.25,0.1,0.19
0.3,0.3,0.266666666666667,0.175,0.18,0.2
0.1,0.25,0.166666666666667,0.175,0.22,0.18
0.1,0.2,0.133333333333333,0.275,0.18,0.22
0.3,0.2,0.2,0.2,0.32,0.19
0.3,0.1,0.233333333333333,0.225,0.14,0.16
0.1,0.15,0.133333333333333,0.15,0.24,0.16
0.3,0.4,0.1,0.175,0.18,0.18
0.3,0.3,0.0666666666666667,0.275,0.2,0.22
0,0.25,0.2,0.175,0.24,0.26
0.2,0.25,0.166666666666667,0.15,0.12,0.2
0.2,0.1,0.133333333333333,0.25,0.3,0.15
0.1,0.25,0.266666666666667,0.275,0.2,0.24
0.2,0.2,0.2,0.15,0.28,0.19
0.3,0.25,0.166666666666667,0.2,0.18,0.17
0.3,0.2,0.1,0.2,0.24,0.25
0.3,0.1,0.233333333333333,0.15,0.18,0.18
0.1,0.15,0.233333333333333,0.175,0.16,0.22
0.3,0.15,0.366666666666667,0.2,0.26,0.28
0.2,0.1,0.0666666666666667,0.225,0.22,0.25
0.2,0.1,0.1,0.1,0.22,0.18
0.3,0.2,0.1,0.225,0.2,0.23
0.3,0.1,0.266666666666667,0.15,0.12,0.23
0.3,0.25,0.133333333333333,0.225,0.16,0.26
0,0.3,0.1,0.25,0.26,0.16
0.4,0.2,0.3,0.3,0.18,0.17
0.3,0.1,0.366666666666667,0.25,0.26,0.14
0.4,0.2,0.133333333333333,0.125,0.24,0.24
