"vote" "income"
"140" 0 2
"141" 1 4
"142" 0 4
"143" 1 4
"144" 0 3
"145" 1 2
"146" 1 4
"147" 1 4
"148" NA NA
"149" NA NA
"150" NA NA
"151" NA NA
"152" NA NA
"153" 0 3
"154" NA NA
"155" 0 1
"156" NA NA
"157" 0 5
"158" 0 3
"159" 1 3
"160" NA NA
"161" 0 3
"162" 0 1
"163" 1 4
"164" 0 4
"165" NA NA
"166" 0 3
"167" NA NA
"168" 0 5
"169" 0 4
"170" 1 1
"171" 0 3
"172" 0 2
"173" NA NA
"174" NA NA
"175" 1 4
"176" NA NA
"177" 1 3
"178" 1 2
"179" 0 4
"180" 0 3
"181" 0 3
"182" 1 5
"183" 0 2
"184" 0 1
"185" 0 2
"186" NA NA
"187" NA NA
"188" NA NA
"189" 1 3
"190" 0 2
"191" 1 2
"192" 0 2
"193" 1 3
"194" 1 4
"195" 0 3
"196" NA NA
"197" 0 4
"198" 0 3
"199" NA NA
"200" 0 3
"201" NA NA
"202" 1 3
"203" 0 2
"204" 1 5
"205" 0 4
"206" 1 3
"207" 0 4
"208" 1 4
"209" NA NA
"210" NA NA
"211" 0 4
"212" 0 4
"213" 0 4
"214" 0 4
"215" 1 4
"216" 0 2
"217" 1 4
"218" 1 3
"219" NA NA
"220" 1 3
"221" 1 4
"222" 1 4
"223" 0 4
"224" 1 3
"225" NA NA
"226" 0 3
"227" NA NA
"228" 0 4
"229" 0 4
"230" 1 4
"231" 1 3
"232" 0 4
"233" 1 4
"234" 1 3
"235" 1 3
"236" NA NA
"237" NA NA
"238" NA NA
"239" NA NA
"240" NA NA
"241" NA NA
"242" 1 2
"243" 0 3
"244" 0 4
"245" 0 2
"246" 0 4
"247" NA NA
"248" 0 1
"249" 0 3
"250" 1 2
"251" 1 4
"252" NA NA
"253" 0 2
"254" NA NA
"255" 1 3
"256" 0 4
"257" NA NA
"258" 0 1
"259" 1 4
"260" 0 2
"261" 0 4
"262" 0 5
"263" 0 3
"264" 1 5
"265" 1 2
"266" 1 2
"267" 1 4
"268" 0 1
"269" 1 3
"270" 1 1
"271" 0 2
"272" NA NA
"273" 1 2
"274" 0 4
"275" 1 3
"276" NA NA
"277" 0 4
"278" 0 5
"279" 0 1
"280" 1 4
"281" 1 2
"282" 0 4
"283" 1 4
"284" NA NA
"285" NA NA
"286" 0 4
"287" 1 3
"288" 1 4
"289" 0 4
"290" NA NA
"291" 0 4
"292" 0 5
"293" NA NA
"294" 0 4
"295" 1 4
"296" NA NA
"297" NA NA
"298" 0 3
"299" 0 4
"300" 0 4
"301" NA NA
"302" 1 4
"303" 1 3
"304" 0 5
"305" NA NA
"306" 0 2
"307" NA NA
"308" 1 3
"309" 0 1
"310" 1 4
"311" 1 4
"312" NA NA
"313" 1 4
"314" 1 2
"315" 0 2
"316" 1 3
"317" 0 3
"318" 0 4
"319" 1 4
"320" 0 4
"321" 1 3
"322" 1 4
"323" 1 5
"324" 0 2
"325" NA NA
"326" 0 4
"327" 1 4
"328" 1 1
"329" NA NA
"330" 0 5
"331" 1 3
"332" 1 2
"333" 1 4
"334" 1 3
"335" 1 4
"336" 0 1
"337" 0 4
"338" 0 2
"339" 1 3
"340" NA NA
"341" 1 3
"342" 0 2
"343" 1 3
"344" 1 3
"345" 0 4
"346" 0 1
"347" 0 1
"348" 1 1
"349" NA NA
"350" NA NA
"351" 1 4
"352" NA NA
"353" 0 3
"354" 0 5
"355" 0 1
"356" 0 3
"357" 0 4
"358" 1 4
"359" NA NA
"360" 0 2
"361" 1 4
"362" 1 2
"363" 0 3
"364" 0 1
"365" 0 3
"366" 1 4
"367" NA NA
"368" 1 4
"369" NA NA
"370" NA NA
"371" 0 2
"372" NA NA
"373" 1 2
"374" 1 3
"375" 0 4
"376" 0 4
"377" 1 3
"378" 0 5
"379" 1 4
"380" 0 3
"381" 0 3
"382" 0 2
"383" 0 3
"384" 0 1
"385" 1 1
"386" NA NA
"387" 1 4
"388" 0 2
"389" 0 2
"390" NA NA
"391" 1 3
"392" 1 5
"393" 1 4
"394" 1 2
"395" 1 3
"396" 1 2
"397" 1 4
"398" 0 4
"399" 0 1
"400" NA NA
"401" 0 3
"402" 0 4
"403" 1 5
"404" NA NA
"405" NA NA
"406" 0 2
"407" 0 3
"408" 0 3
"409" 1 3
"410" 0 3
"411" NA NA
"412" 1 4
"413" 1 3
"414" 0 2
"415" 1 2
"416" 0 3
"417" 0 2
"418" 0 3
"419" 0 3
"420" 1 4
"421" 0 4
"422" 1 1
"423" 0 1
"424" 0 3
"425" 0 3
"426" 1 4
"427" 1 4
"428" 1 5
"429" NA NA
"430" 0 3
"431" 1 4
"432" 1 2
"433" 0 4
"434" 1 4
"435" 0 2
"436" NA NA
"437" 1 4
"438" 0 4
"439" 0 1
"440" 0 5
"441" 0 3
"442" 1 3
"443" 0 5
"444" 0 1
"445" 0 1
"446" 1 4
"447" 1 3
"448" 0 3
"449" 1 5
"450" 0 4
"451" 1 3
"452" 0 2
"453" 1 3
"454" 1 5
"455" 0 4
"456" 1 4
"457" 0 3
"458" 0 3
"459" NA NA
"460" 1 4
"461" 0 4
"462" 0 3
"463" 0 4
"464" 0 4
"465" 0 4
"466" 0 4
"467" 0 2
"468" 0 4
"469" 0 5
"470" 0 3
"471" 0 3
"472" 0 3
"473" 0 3
"474" 0 3
"475" NA NA
"476" NA NA
"477" 1 4
"478" 0 4
"479" 0 3
"480" NA NA
"481" NA NA
"482" 1 3
"483" 0 4
"484" NA NA
"485" 0 1
"486" 1 3
"487" 0 5
"488" 0 5
"489" NA NA
"490" 0 4
"491" 1 4
"492" 1 4
"493" 1 3
"494" NA NA
"495" 1 4
"496" 0 3
"497" 0 4
"498" 1 4
"499" 0 4
"500" 0 3
"501" NA NA
"502" 1 4
"503" NA NA
"504" 0 3
"505" 0 3
"506" 1 4
"507" 0 3
"508" 1 1
"509" 0 2
"510" 0 4
"511" 0 4
"512" 1 4
"513" 0 3
"514" NA NA
"515" 0 4
"516" 1 4
"517" NA NA
"518" 0 3
"519" NA NA
"520" 1 3
"521" 1 3
"522" 0 4
"523" 1 3
"524" 0 3
"525" NA NA
"526" NA NA
"527" 1 4
"528" 0 4
"529" 0 4
"530" 0 3
"531" NA NA
"532" 0 4
"533" 1 4
"534" 1 4
"535" 0 3
"536" 1 5
"537" 0 2
"538" 1 5
"539" NA NA
"540" 0 5
"541" 1 4
"542" 0 3
"543" 0 4
"544" 1 2
"545" 0 2
"546" 1 3
"547" 0 3
"548" NA NA
"549" 0 4
"550" NA NA
"551" 0 4
"552" 1 4
"553" 1 5
"554" 1 3
"555" NA NA
"556" 0 1
"557" 1 2
"558" 0 3
"559" NA NA
"560" 1 4
"561" 0 2
"562" 1 3
"563" NA NA
"564" 1 4
"565" 0 2
"566" NA NA
"567" 0 5
"568" 0 1
"569" 1 3
"570" NA NA
"571" 0 3
"572" NA NA
"573" 1 4
"574" 0 4
"575" 0 3
"576" 0 2
"577" NA NA
"578" 0 4
"579" 0 3
"580" 1 4
"581" 0 4
"582" 1 4
"583" 0 4
"584" NA NA
"585" 0 2
"586" 0 3
"587" 0 4
"588" NA NA
"589" 0 5
"590" 0 3
"591" 0 3
"592" 0 3
"593" NA NA
"594" NA NA
"595" 1 4
"596" 0 4
"597" NA NA
"598" 0 2
"599" 0 4
"600" 0 4
"601" 1 4
"602" NA NA
"603" NA NA
"604" 0 1
"605" 1 2
"606" 0 1
"607" 0 4
"608" NA NA
"609" NA NA
"610" 0 4
"611" 0 5
"612" 0 3
"613" 0 4
"614" 0 3
"615" NA NA
"616" 1 4
"617" 1 5
"618" 0 3
"619" NA NA
"620" 0 1
"621" 0 3
"622" NA NA
"623" 0 5
"624" 1 4
"625" 0 4
"626" 1 1
"627" NA NA
"628" NA NA
"629" 0 4
"630" NA NA
"631" NA NA
"632" 0 2
"633" 0 1
"634" 1 4
"635" 0 3
"636" 0 3
"637" 0 4
"638" NA NA
"639" 1 4
"640" NA NA
"641" NA NA
"642" NA NA
"643" 1 4
"644" 0 3
"645" 1 2
"646" 0 4
"647" 0 4
"648" 1 5
"649" 1 3
"650" NA NA
"651" 0 2
"652" 1 5
"653" 0 2
"654" 0 2
"655" NA NA
"656" 1 4
"657" NA NA
"658" 0 3
"659" 0 3
"660" 0 1
"661" 0 2
"662" 0 4
"663" 0 4
"664" 1 3
"665" 0 2
"666" NA NA
"667" 1 4
"668" 0 5
"669" 1 4
"670" NA NA
"671" 0 3
"672" NA NA
"673" 0 3
"674" 0 4
"675" NA NA
"676" 1 4
"677" 0 4
"678" NA NA
"679" NA NA
"680" 0 3
"681" 1 4
"682" NA NA
"683" 0 4
"684" 0 4
"685" 0 5
"686" 0 2
"687" NA NA
"688" 0 2
"689" 1 4
"690" 1 2
"691" 0 2
"692" NA NA
"693" 1 3
"694" NA NA
"695" 1 4
"696" NA NA
"697" NA NA
"698" 0 3
"699" NA NA
"700" 0 2
"701" 0 3
"702" 0 3
"703" 0 1
"704" 0 1
"705" 1 2
"706" 0 3
"707" 0 3
"708" 1 4
"709" 0 3
"710" 0 1
"711" 1 4
"712" 1 2
"713" 0 3
"714" 1 2
"715" NA NA
"716" NA NA
"717" 0 4
"718" NA NA
"719" 0 3
"720" 0 3
"721" NA NA
"722" 0 1
"723" 0 3
"724" 1 1
"725" 1 3
"726" 0 3
"727" 0 1
"728" 0 3
"729" NA NA
"730" 0 3
"731" 1 4
"732" 0 4
"733" 0 4
"734" 0 3
"735" 0 3
"736" 0 2
"737" 1 3
"738" NA NA
"739" NA NA
"740" 0 4
"741" 0 1
"742" NA NA
"743" 0 5
"744" NA NA
"745" 0 2
"746" 1 2
"747" 1 2
"748" 0 3
"749" 1 2
"750" 1 3
"751" NA NA
"752" 0 3
"753" NA NA
"754" 1 2
"755" 0 1
"756" NA NA
"757" 0 4
"758" 0 1
"759" 1 4
"760" 1 4
"761" 1 5
"762" 0 3
"763" 0 4
"764" 0 3
"765" 0 4
"766" 1 3
"767" 0 3
"768" 0 4
"769" NA NA
"770" 1 3
"771" 0 1
"772" 1 3
"773" 1 4
"774" 0 3
"775" NA NA
"776" 1 3
"777" 0 2
"778" 0 4
"779" 0 4
"780" 1 4
"781" NA NA
"782" 0 4
"783" 0 4
"784" NA NA
"785" 1 3
"786" NA NA
"787" 1 1
"788" 1 3
"789" 1 3
"790" 1 2
"791" 1 3
"792" 0 4
"793" 0 1
"794" 1 3
"795" NA NA
"796" NA NA
"797" 0 1
"798" 1 4
"799" 1 3
"800" NA NA
"801" 0 4
"802" 1 3
"803" 0 3
"804" 1 4
"805" 1 4
"806" 1 4
"807" 1 3
"808" 0 2
"809" NA NA
"810" 0 2
"811" NA NA
"812" 1 3
"813" 0 3
"814" NA NA
"815" NA NA
"816" 1 4
"817" 0 3
"818" NA NA
"819" NA NA
"820" 0 2
"821" 0 2
"822" NA NA
"823" NA NA
"824" 0 3
"825" NA NA
"826" 0 4
"827" 0 3
"828" 1 4
"829" 0 3
"830" 1 4
"831" 0 1
"832" NA NA
"833" 0 2
"834" 0 4
"835" NA NA
"836" 1 2
"837" 0 4
"838" 0 4
"839" 1 4
"840" 0 3
"841" NA NA
"842" 0 1
"843" NA NA
"844" NA NA
"845" NA NA
"846" 1 4
"847" 0 4
"848" 1 4
"849" 0 3
"850" 0 3
"851" 0 1
"852" 0 4
"853" 1 4
"854" 0 3
"855" 0 1
"856" 0 1
"857" 1 4
"858" NA NA
"859" 0 3
"860" NA NA
"861" 1 2
"862" 1 1
"863" 1 4
"864" 1 3
"865" 1 4
"866" NA NA
"867" 0 2
"868" 0 1
"869" NA NA
"870" 1 3
"871" 0 4
"872" 0 3
"873" 0 4
"874" 1 4
"875" NA NA
"876" 1 3
"877" 1 3
"878" NA NA
"879" 0 3
"880" 0 4
"881" 0 3
"882" NA NA
"883" 1 3
"884" 0 1
"885" 1 3
"886" 1 3
"887" 1 2
"888" 0 3
"889" 1 5
"890" 0 3
"891" NA NA
"892" 1 4
"893" 0 2
"894" 1 3
"895" 1 5
"896" 0 1
"897" NA NA
"898" 0 3
"899" 1 3
"900" 1 4
"901" 1 5
"902" 1 3
"903" NA NA
"904" 1 2
"905" 0 3
"906" NA NA
"907" 0 2
"908" 1 3
"909" 1 4
"910" 0 5
"911" 0 2
"912" NA NA
"913" 0 1
"914" 1 3
"915" 0 2
"916" 1 1
"917" 1 1
"918" 0 1
"919" 0 3
"920" 0 2
"921" 0 2
"922" 0 2
"923" NA NA
"924" 0 2
"925" NA NA
"926" 1 2
"927" 1 5
"928" 1 4
"929" 0 3
"930" 1 3
"931" NA NA
"932" 1 3
"933" 0 3
"934" 1 2
"935" 1 4
"936" NA NA
"937" 0 4
"938" 0 2
"939" NA NA
"940" 0 5
"941" NA NA
"942" 0 5
"943" 1 4
"944" 0 3
"945" 1 3
"946" 0 1
"947" 0 2
"948" 0 4
"949" 0 1
"950" NA NA
"951" 1 5
"952" 1 4
"953" 0 2
"954" NA NA
"955" NA NA
"956" NA NA
"957" NA NA
"958" 0 3
"959" 0 4
"960" 0 1
"961" 0 1
"962" 1 3
"963" 0 2
"964" NA NA
"965" 0 1
"966" NA NA
"967" 1 2
"968" 0 2
"969" NA NA
"970" 1 3
"971" 0 2
"972" 1 3
"973" 0 4
"974" 1 3
"975" 0 3
"976" 0 4
"977" NA NA
"978" 0 1
"979" 1 1
"980" NA NA
"981" 0 4
"982" 0 2
"983" NA NA
"984" 1 4
"985" 0 5
"986" NA NA
"987" 0 4
"988" 0 4
"989" 0 3
"990" 0 4
"991" 0 3
"992" NA NA
"993" 0 4
"994" 1 3
"995" NA NA
"996" NA NA
"997" 0 2
"998" NA NA
"999" NA NA
"1000" 1 3
"1001" 1 4
"1002" 0 2
"1003" 0 3
"1004" 0 1
"1005" NA NA
"1006" 1 2
"1007" 1 1
"1008" 0 2
"1009" NA NA
"1010" 0 3
"1011" 1 3
"1012" 1 4
"1013" NA NA
"1014" 0 3
"1015" NA NA
"1016" NA NA
"1017" 1 4
"1018" 0 4
"1019" 0 2
"1020" NA NA
"1021" 0 3
"1022" NA NA
"1023" 0 3
"1024" 0 2
"1025" NA NA
"1026" 0 1
"1027" NA NA
"1028" 0 1
"1029" 0 4
"1030" 0 1
"1031" 1 4
"1032" 0 2
"1033" NA NA
"1034" 1 2
"1035" 0 3
"1036" 0 3
"1037" 0 3
"1038" 1 2
"1039" 1 4
"1040" 0 3
"1041" 0 3
"1042" 1 4
"1043" NA NA
"1044" 0 3
"1045" 1 4
"1046" 1 2
"1047" 0 2
"1048" NA NA
"1049" NA NA
"1050" 1 2
"1051" 1 4
"1052" NA NA
"1053" NA NA
"1054" 0 3
"1055" 0 4
"1056" 0 4
"1057" 1 3
"1058" 1 4
"1059" 0 1
"1060" 0 2
"1061" 1 2
"1062" 0 3
"1063" 1 5
"1064" NA NA
"1065" NA NA
"1066" 0 4
"1067" 1 3
"1068" 0 2
"1069" NA NA
"1070" NA NA
"1071" 0 2
"1072" 1 3
"1073" 1 3
"1074" 0 1
"1075" 0 3
"1076" 0 1
"1077" 1 4
"1078" 0 3
"1079" 0 2
"1080" 0 3
"1081" 1 3
"1082" 0 4
"1083" 0 4
"1084" NA NA
"1085" 0 4
"1086" 1 3
"1087" NA NA
"1088" 0 3
"1089" 0 4
"1090" 0 3
"1091" 0 3
"1092" 0 3
"1093" 1 4
"1094" 1 5
"1095" 0 4
"1096" 0 4
"1097" 0 3
"1098" 0 3
"1099" 1 2
"1100" NA NA
"1101" 0 1
"1102" 0 1
"1103" 1 4
"1104" 1 5
"1105" 0 1
"1106" NA NA
"1107" NA NA
"1108" 1 2
"1109" NA NA
"1110" 0 2
"1111" 0 3
"1112" 0 4
"1113" 0 2
"1114" NA NA
"1115" NA NA
"1116" 0 2
"1117" 1 2
"1118" 0 4
"1119" NA NA
"1120" 0 3
"1121" 1 4
"1122" 0 4
"1123" NA NA
"1124" 1 2
"1125" NA NA
"1126" NA NA
"1127" 0 3
"1128" NA NA
"1129" NA NA
"1130" 1 3
"1131" 0 3
"1132" NA NA
"1133" 1 3
"1134" 0 3
"1135" 1 4
"1136" 0 3
"1137" NA NA
"1138" 1 3
"1139" 1 3
"1140" 0 1
"1141" NA NA
"1142" 0 1
"1143" 0 4
"1144" 0 1
"1145" NA NA
"1146" 1 4
"1147" 0 1
"1148" 1 3
"1149" 1 3
"1150" 1 4
"1151" 0 5
"1152" NA NA
"1153" 1 4
"1154" 1 5
"1155" 0 1
"1156" 0 4
"1157" 0 3
"1158" 0 1
"1159" NA NA
"1160" 1 2
"1161" 0 2
"1162" 1 5
"1163" NA NA
"1164" 1 2
"1165" 1 4
"1166" NA NA
"1167" 0 4
"1168" 0 2
"1169" 0 2
"1170" 0 3
"1171" NA NA
"1172" 0 4
"1173" 0 3
"1174" NA NA
"1175" 0 4
"1176" NA NA
"1177" 0 4
"1178" 0 2
"1179" 0 2
"1180" 0 2
"1181" 0 5
"1182" NA NA
"1183" 0 1
"1184" NA NA
"1185" NA NA
"1186" 1 4
"1187" 0 1
"1188" 1 4
"1189" 0 3
"1190" NA NA
"1191" NA NA
"1192" 1 3
"1193" 0 3
"1194" 0 3
"1195" 1 4
"1196" 0 4
"1197" 0 4
"1198" 0 2
"1199" NA NA
"1200" NA NA
"1201" NA NA
"1202" 1 4
"1203" 0 2
"1204" 0 1
"1205" 0 4
"1206" 0 1
"1207" 1 1
"1208" NA NA
"1209" 0 4
"1210" 0 4
"1211" 1 1
"1212" 1 4
"1213" 1 4
"1214" NA NA
"1215" 1 3
"1216" 1 2
"1217" 0 4
"1218" 0 4
"1219" 0 1
"1220" 0 3
"1221" NA NA
"1222" 0 3
"1223" 0 3
"1224" 0 2
"1225" NA NA
"1226" NA NA
"1227" 1 3
"1228" 1 3
"1229" 0 4
"1230" NA NA
"1231" 0 2
"1232" 0 1
"1233" NA NA
"1234" 0 1
"1235" 0 2
"1236" 0 4
"1237" 1 5
"1238" 0 3
"1239" 1 4
"1240" 0 3
"1241" 0 4
"1242" 1 3
"1243" 0 2
"1244" NA NA
"1245" 0 3
"1246" 0 4
"1247" NA NA
"1248" NA NA
"1249" 0 1
"1250" 0 2
"1251" 0 4
"1252" 0 3
"1253" 0 3
"1254" 0 3
"1255" 0 4
"1256" NA NA
"1257" 0 3
"1258" 0 2
"1259" 1 5
"1260" 1 4
"1261" 1 3
"1262" 0 3
"1263" 1 5
"1264" 0 2
"1265" NA NA
"1266" 0 4
"1267" 1 2
"1268" 0 3
"1269" 1 3
"1270" 1 3
"1271" NA NA
"1272" 1 4
"1273" 0 3
"1274" NA NA
"1275" 1 2
"1276" NA NA
"1277" 0 4
"1278" 0 1
"1279" 0 4
"1280" 0 4
"1281" 1 3
"1282" 0 4
"1283" 0 4
"1284" 0 3
"1285" NA NA
"1286" 1 3
"1287" 1 3
"1288" NA NA
"1289" NA NA
"1290" 1 3
"1291" 0 2
"1292" NA NA
"1293" 0 4
"1294" 1 4
"1295" 0 3
"1296" 0 4
"1297" NA NA
"1298" 0 3
"1299" NA NA
"1300" 0 3
"1301" 0 3
"1302" 0 2
"1303" 1 2
"1304" 0 3
"1305" 0 2
"1306" NA NA
"1307" 1 4
"1308" NA NA
"1309" NA NA
"1310" 1 4
"1311" 1 3
"1312" 0 4
"1313" 0 3
"1314" NA NA
"1315" 1 4
"1316" 1 4
"1317" 1 4
"1318" 0 1
"1319" NA NA
"1320" 0 4
"1321" 1 1
"1322" NA NA
"1323" NA NA
"1324" NA NA
"1325" 1 3
"1326" 1 3
"1327" NA NA
"1328" NA NA
"1329" 0 2
"1330" NA NA
"1331" NA NA
"1332" NA NA
"1333" 0 2
"1334" 1 3
"1335" 1 4
"1336" 1 2
"1337" 0 4
"1338" 0 3
"1339" NA NA
"1340" 0 5
"1341" 1 4
"1342" 0 2
"1343" 0 3
"1344" 0 4
"1345" 0 5
"1346" 1 4
"1347" NA NA
"1348" 0 4
"1349" 1 3
"1350" 0 4
"1351" 0 2
"1352" 1 3
"1353" 0 2
"1354" 0 1
"1355" 1 3
"1356" NA NA
"1357" 1 4
"1358" NA NA
"1359" 1 4
"1360" NA NA
"1361" NA NA
"1362" 0 4
"1363" 0 3
"1364" NA NA
"1365" 1 4
"1366" NA NA
"1367" 0 2
"1368" 1 4
"1369" 1 5
"1370" 1 4
"1371" 0 3
"1372" 1 4
"1373" 1 1
"1374" 1 4
"1375" 1 4
"1376" 1 3
"1377" 1 4
"1378" 1 3
"1379" 0 2
"1380" NA NA
"1381" 0 5
"1382" 0 4
"1383" 1 4
"1384" NA NA
"1385" NA NA
"1386" NA NA
"1387" 0 4
"1388" 1 3
"1389" 0 4
"1390" 0 3
"1391" 0 4
"1392" 0 4
"1393" NA NA
"1394" NA NA
"1395" NA NA
"1396" NA NA
"1397" 1 1
"1398" 0 4
"1399" NA NA
"1400" NA NA
"1401" 0 1
"1402" 0 4
"1403" 0 4
"1404" 1 5
"1405" 0 4
"1406" 0 4
"1407" NA NA
"1408" 0 1
"1409" 1 1
"1410" 0 2
"1411" 0 4
"1412" NA NA
"1413" 0 4
"1414" 1 4
"1415" NA NA
"1416" 0 3
"1417" 1 5
"1418" 1 3
"1419" 1 4
"1420" 1 4
"1421" NA NA
"1422" NA NA
"1423" 1 1
"1424" NA NA
"1425" 0 3
"1426" NA NA
"1427" 0 5
"1428" 0 5
"1429" 1 2
"1430" 0 3
"1431" 0 3
"1432" 0 3
"1433" 1 3
"1434" 1 3
"1435" NA NA
"1436" 0 3
"1437" 0 3
"1438" 0 4
"1439" 0 2
"1440" 1 4
"1441" 1 2
"1442" NA NA
"1443" 1 4
"1444" 1 5
"1445" 0 4
"1446" NA NA
"1447" 1 5
"1448" 1 3
"1449" 0 5
"1450" 0 3
"1451" NA NA
"1452" 0 4
"1453" 0 2
"1454" 0 3
"1455" 0 4
"1456" 1 2
"1457" 0 2
"1458" 0 3
"1459" 0 1
"1460" 1 3
"1461" 0 2
"1462" 0 3
"1463" NA NA
"1464" 1 1
"1465" 1 2
"1466" 0 3
"1467" 0 4
"1468" 0 4
"1469" 0 4
"1470" NA NA
"1471" 1 1
"1472" 1 3
"1473" 0 2
"1474" NA NA
"1475" 0 1
"1476" 0 2
"1477" 0 3
"1478" NA NA
"1479" 0 2
"1480" 0 5
"1481" 1 4
"1482" 1 1
"1483" 1 3
"1484" 0 1
"1485" NA NA
"1486" NA NA
"1487" 0 1
"1488" 0 2
"1489" NA NA
"1490" 1 5
"1491" NA NA
"1492" 0 3
"1493" NA NA
"1494" 0 4
"1495" 1 1
"1496" 0 4
"1497" NA NA
"1498" 0 3
"1499" NA NA
"1500" NA NA
"1501" NA NA
"1502" NA NA
"1503" 0 3
"1504" 1 4
"1505" 1 4
"1506" 0 1
"1507" NA NA
"1508" NA NA
"1509" 0 4
"1510" NA NA
"1511" 0 2
"1512" 1 4
"1513" NA NA
"1514" 0 3
"1515" NA NA
"1516" 0 3
"1517" 0 3
"1518" 0 2
"1519" NA NA
"1520" 1 4
"1521" 0 3
"1522" 1 3
"1523" 1 1
"1524" NA NA
"1525" 0 4
"1526" 1 4
"1527" 1 3
"1528" 0 2
"1529" NA NA
"1530" 0 1
"1531" 1 3
"1532" 0 3
"1533" 0 2
"1534" 1 4
"1535" 0 4
"1536" 0 3
"1537" 0 2
"1538" NA NA
"1539" 0 1
"1540" NA NA
"1541" NA NA
"1542" 1 4
"1543" NA NA
"1544" 0 3
"1545" 1 3
"1546" NA NA
"1547" NA NA
