"acrePrice","region","improvements","year","acres","tillable","financing","crpPct","productivity"
2000,"South Central",0,2003,80,91,"title_transfer",0,NA
1000,"South Central",0,2003,40,68,"title_transfer",0,NA
2869,"South Central",34,2003,160,78,"seller_financed",0,NA
930,"South Central",0,2003,51,67,"title_transfer",0,NA
1515,"South Central",0,2003,33,94,"title_transfer",0,NA
2325,"South Central",25,2003,80,34,"title_transfer",0,NA
6846,"South Central",68,2003,41,59,"title_transfer",0,NA
1000,"South Central",0,2003,15,NA,"title_transfer",0,NA
1413,"South Central",0,2003,120,38,"title_transfer",0,NA
3230,"South Central",0,2002,10,NA,"title_transfer",0,NA
2636,"South Central",39,2003,81,28,"seller_financed",0,NA
2154,"South Central",0,2003,25,88,"title_transfer",0,NA
3147,"South Central",30,2002,40,45,"title_transfer",0,NA
1277,"South Central",0,2002,39,46,"title_transfer",0,NA
6106,"South Central",64,2003,35,49,"title_transfer",0,NA
2966,"South Central",23,2002,155,86,"seller_financed",0,NA
12500,"South Central",1,2002,20,NA,"title_transfer",0,NA
2606,"South Central",0,2003,41,78,"title_transfer",0,NA
1333,"South Central",0,2003,12,100,"title_transfer",0,NA
2922,"South Central",0,2002,63,75,"title_transfer",0,NA
1129,"South Central",0,2003,31,97,"title_transfer",0,NA
1905,"South Central",0,2003,22,91,"seller_financed",0,NA
2033,"South Central",0,2003,40,95,"title_transfer",0,NA
2500,"South Central",0,2003,34,88,"title_transfer",0,NA
5075,"South Central",57,2003,40,58,"seller_financed",0,NA
2500,"South Central",0,2004,40,85,"title_transfer",0,NA
2512,"South Central",0,2004,40,68,"title_transfer",0,NA
5816,"South Central",47,2004,40,40,"title_transfer",0,NA
5099,"South Central",58,2004,40,75,"title_transfer",0,NA
2260,"South Central",0,2003,107,66,"title_transfer",0,NA
2419,"South Central",0,2004,53,72,"title_transfer",6,NA
2447,"South Central",0,2004,150,91,"title_transfer",0,NA
3633,"South Central",0,2004,65,37,"title_transfer",0,NA
2709,"South Central",0,2004,878,91,"title_transfer",0,NA
2212,"South Central",23,2004,240,92,"title_transfer",0,NA
1914,"South Central",0,2004,101,60,"title_transfer",0,NA
1760,"South Central",15,2003,42,71,"title_transfer",0,NA
2085,"South Central",21,2004,157,65,"title_transfer",0,NA
5486,"South Central",49,2004,36,64,"title_transfer",0,NA
5454,"South Central",53,2004,40,75,"title_transfer",0,NA
1138,"South Central",0,2004,80,41,"title_transfer",0,NA
2253,"South Central",0,2004,40,20,"title_transfer",0,NA
2564,"South Central",0,2003,180,63,"title_transfer",0,NA
924,"South Central",0,2003,40,80,"title_transfer",0,NA
2000,"South Central",0,2003,33,100,"title_transfer",0,NA
2750,"South Central",0,2004,40,80,"title_transfer",0,NA
2753,"South Central",1,2004,180,60,"title_transfer",0,NA
2616,"South Central",0,2004,36,92,"title_transfer",0,NA
1919,"South Central",0,2004,162,61,"seller_financed",0,NA
3926,"South Central",50,2004,40,68,"title_transfer",0,NA
3029,"South Central",0,2004,40,45,"title_transfer",0,NA
4178,"South Central",0,2004,40,95,"seller_financed",0,NA
10193,"South Central",0,2004,40,NA,"title_transfer",0,NA
2459,"South Central",0,2004,34,68,"title_transfer",0,NA
4924,"South Central",9,2004,77,NA,"title_transfer",0,NA
2935,"South Central",0,2005,80,56,"title_transfer",0,NA
3513,"South Central",0,2005,40,22,"seller_financed",0,NA
2204,"South Central",0,2004,20,90,"title_transfer",0,NA
3500,"South Central",0,2005,80,91,"title_transfer",0,NA
1946,"South Central",11,2005,80,26,"title_transfer",0,NA
3569,"South Central",29,2004,40,40,"title_transfer",0,NA
2403,"South Central",0,2005,40,40,"title_transfer",0,NA
6675,"South Central",59,2005,40,52,"title_transfer",0,NA
5989,"South Central",51,2005,40,52,"title_transfer",0,NA
5539,"South Central",41,2005,40,22,"title_transfer",0,NA
1764,"South Central",0,2004,80,25,"title_transfer",0,NA
2030,"South Central",0,2005,80,NA,"seller_financed",0,NA
5507,"South Central",33,2004,40,48,"title_transfer",0,NA
1939,"South Central",0,2005,40,22,"seller_financed",0,NA
4878,"South Central",0,2005,110,18,"title_transfer",0,NA
863,"South Central",0,2004,35,NA,"title_transfer",0,NA
5520,"South Central",0,2004,26,88,"title_transfer",0,NA
1423,"South Central",0,2004,155,83,"title_transfer",0,NA
1475,"South Central",0,2004,240,89,"title_transfer",0,NA
2863,"South Central",0,2005,41,83,"title_transfer",0,NA
6652,"South Central",0,2005,40,25,"title_transfer",0,NA
4580,"South Central",42,2005,80,61,"title_transfer",0,NA
2724,"South Central",0,2005,79,87,"title_transfer",0,NA
2364,"South Central",0,2004,160,69,"seller_financed",0,NA
4948,"South Central",40,2005,40,75,"title_transfer",0,NA
5582,"South Central",38,2005,40,70,"title_transfer",0,NA
4386,"South Central",32,2005,57,61,"title_transfer",0,NA
3429,"South Central",0,2005,40,38,"title_transfer",0,NA
1039,"South Central",0,2005,80,NA,"title_transfer",0,NA
9099,"South Central",40,2005,40,NA,"seller_financed",0,NA
1865,"South Central",0,2005,46,28,"title_transfer",0,NA
2136,"South Central",0,2005,45,27,"title_transfer",0,NA
5903,"South Central",28,2005,118,33,"title_transfer",0,NA
3743,"South Central",0,2004,71,58,"title_transfer",0,NA
4923,"South Central",0,2004,68,90,"seller_financed",0,NA
4227,"South Central",43,2005,60,60,"title_transfer",0,NA
3902,"South Central",0,2005,79,92,"title_transfer",0,NA
4951,"South Central",0,2005,40,78,"title_transfer",0,NA
4047,"South Central",0,2005,70,87,"title_transfer",0,NA
3668,"South Central",0,2005,40,45,"title_transfer",0,NA
2294,"South Central",0,2005,30,73,"title_transfer",0,NA
2938,"South Central",3,2005,80,38,"title_transfer",0,NA
2232,"South Central",22,2006,100,52,"seller_financed",0,NA
2316,"South Central",0,2006,22,82,"title_transfer",0,NA
2479,"South Central",0,2006,121,55,"title_transfer",0,NA
1228,"South Central",0,2006,80,29,"title_transfer",0,NA
3900,"South Central",0,2006,80,91,"title_transfer",0,NA
7222,"South Central",48,2006,40,50,"title_transfer",0,NA
4264,"South Central",22,2005,120,66,"seller_financed",0,NA
3050,"South Central",0,2006,40,35,"title_transfer",0,NA
5166,"South Central",3,2006,87,28,"title_transfer",0,NA
3375,"South Central",0,2006,40,98,"title_transfer",0,NA
2875,"South Central",0,2005,40,82,"title_transfer",0,NA
2842,"South Central",11,2006,320,73,"seller_financed",0,NA
2611,"South Central",0,2006,151,66,"title_transfer",0,NA
2712,"South Central",0,2005,59,24,"title_transfer",0,NA
6800,"South Central",53,2006,40,50,"title_transfer",0,NA
3500,"South Central",0,2005,80,90,"title_transfer",0,NA
2900,"South Central",0,2006,40,70,"title_transfer",0,NA
7300,"South Central",46,2005,40,65,"title_transfer",0,NA
4300,"South Central",40,2005,75,39,"title_transfer",0,NA
2885,"South Central",0,2005,52,67,"title_transfer",0,NA
2370,"South Central",0,2006,106,43,"seller_financed",0,NA
6248,"South Central",43,2006,40,85,"title_transfer",0,NA
3150,"South Central",0,2006,40,50,"title_transfer",0,NA
8456,"South Central",6,2005,68,NA,"title_transfer",0,NA
4653,"South Central",20,2006,79,43,"seller_financed",0,NA
2442,"South Central",0,2007,40,72,"seller_financed",0,NA
3199,"South Central",0,2006,23,83,"title_transfer",0,NA
3965,"South Central",19,2007,200,42,"title_transfer",0,NA
5000,"South Central",0,2007,20,90,"title_transfer",0,NA
3905,"South Central",27,2007,131,66,"title_transfer",0,NA
4090,"South Central",33,2006,120,56,"title_transfer",0,NA
4070,"South Central",21,2007,120,68,"title_transfer",0,NA
2692,"South Central",0,2007,26,38,"title_transfer",0,NA
2518,"South Central",0,2007,39,85,"seller_financed",0,NA
2336,"South Central",0,2006,59,24,"title_transfer",0,NA
1500,"South Central",0,2007,30,97,"title_transfer",0,NA
2714,"South Central",0,2007,74,92,"title_transfer",0,NA
8006,"South Central",53,2007,40,42,"title_transfer",0,NA
1874,"South Central",0,2007,46,NA,"title_transfer",0,NA
1731,"South Central",0,2007,37,73,"title_transfer",0,NA
4299,"South Central",0,2007,37,NA,"title_transfer",0,NA
2521,"South Central",0,2008,75,45,"seller_financed",0,NA
2500,"South Central",0,2008,22,82,"title_transfer",0,NA
3366,"South Central",0,2008,41,NA,"title_transfer",0,NA
3000,"South Central",0,2008,20,40,"title_transfer",0,NA
5500,"South Central",0,2008,10,60,"title_transfer",0,NA
6111,"South Central",0,2008,9,44,"title_transfer",0,NA
3003,"South Central",0,2007,54,80,"title_transfer",0,NA
2150,"South Central",0,2008,107,64,"seller_financed",0,NA
1941,"South Central",0,2008,34,79,"title_transfer",0,NA
3810,"South Central",14,2007,151,45,"title_transfer",0,NA
2952,"South Central",0,2008,101,60,"title_transfer",0,NA
3919,"South Central",0,2007,42,33,"title_transfer",0,NA
4025,"South Central",0,2008,20,70,"title_transfer",0,NA
2944,"South Central",0,2008,40,40,"title_transfer",0,NA
4039,"South Central",0,2008,80,88,"title_transfer",0,NA
6714,"South Central",40,2007,40,40,"title_transfer",0,NA
4883,"South Central",0,2008,57,88,"seller_financed",0,NA
3584,"South Central",0,2008,40,95,"title_transfer",0,NA
8846,"South Central",0,2008,26,38,"title_transfer",0,NA
4587,"South Central",26,2008,200,88,"title_transfer",0,NA
2230,"South Central",0,2008,76,57,"title_transfer",0,NA
2542,"South Central",0,2009,97,68,"title_transfer",0,NA
2903,"South Central",0,2009,42,60,"title_transfer",0,NA
2952,"South Central",0,2009,31,68,"title_transfer",0,NA
2332,"South Central",0,2009,30,70,"title_transfer",0,NA
3321,"South Central",0,2009,115,90,"title_transfer",0,NA
4108,"South Central",19,2009,40,78,"title_transfer",0,NA
1918,"South Central",0,2008,53,89,"title_transfer",0,NA
1964,"South Central",0,2009,26,NA,"title_transfer",0,NA
1659,"South Central",0,2009,80,39,"title_transfer",0,NA
4546,"South Central",0,2008,27,56,"title_transfer",0,NA
14960,"South Central",71,2009,84,60,"title_transfer",0,NA
3048,"South Central",0,2009,40,70,"title_transfer",0,NA
1861,"South Central",0,2009,56,95,"title_transfer",0,NA
2273,"South Central",0,2009,38,29,"title_transfer",0,NA
3871,"South Central",0,2009,63,75,"title_transfer",0,NA
3275,"South Central",0,2009,20,80,"title_transfer",0,NA
4101,"South Central",0,2009,58,90,"title_transfer",0,NA
5431,"South Central",0,2009,31,71,"title_transfer",0,NA
3444,"South Central",2,2009,70,43,"title_transfer",0,NA
10803,"South Central",65,2010,36,83,"title_transfer",0,NA
5123,"South Central",48,2010,40,55,"title_transfer",0,NA
2902,"South Central",0,2010,79,90,"title_transfer",0,NA
3719,"South Central",0,2010,118,96,"seller_financed",0,NA
3534,"South Central",0,2009,36,92,"title_transfer",0,NA
4003,"South Central",0,2010,74,88,"title_transfer",0,NA
1908,"South Central",0,2010,40,75,"title_transfer",0,NA
10236,"South Central",72,2010,39,62,"title_transfer",0,NA
