"Carrier","FlightNo","Destination","DepartTime","FlightLength","Delay","Delayed30"
"UA",689,"ORD","4-8pm",160,34,"Yes"
"UA",691,"ORD","4-8pm",160,-5,"No"
"UA",693,"ORD","4-8pm",160,178,"Yes"
"UA",745,"DEN","Noon-4pm",277,-6,"No"
"UA",835,"ORD","4-8am",160,0,"No"
"UA",847,"IAD","4-8pm",92,28,"No"
"UA",403,"DEN","4-8am",281,-3,"No"
"UA",405,"DEN","8-Noon",277,-8,"No"
"UA",409,"DEN","4-8pm",279,50,"Yes"
"UA",511,"ORD","8-Noon",158,-1,"No"
"UA",667,"ORD","4-8am",143,-6,"No"
"UA",669,"ORD","4-8am",150,-2,"No"
"UA",673,"ORD","8-Noon",158,-13,"No"
"UA",677,"ORD","8-Noon",160,-5,"No"
"UA",679,"ORD","Noon-4pm",160,-2,"No"
"UA",683,"ORD","Noon-4pm",163,88,"Yes"
"UA",685,"ORD","Noon-4pm",160,-2,"No"
"UA",687,"ORD","4-8pm",160,81,"Yes"
"UA",689,"ORD","4-8pm",160,0,"No"
"UA",691,"ORD","4-8pm",160,5,"No"
"UA",693,"ORD","4-8pm",160,49,"Yes"
"UA",695,"ORD","8-Mid",160,33,"Yes"
"UA",745,"DEN","Noon-4pm",277,-2,"No"
"UA",835,"ORD","8-Noon",160,-8,"No"
"UA",847,"IAD","4-8pm",92,-7,"No"
"UA",403,"DEN","4-8am",281,-4,"No"
"UA",405,"DEN","8-Noon",277,117,"Yes"
"UA",409,"DEN","4-8pm",279,115,"Yes"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",667,"ORD","4-8am",143,-2,"No"
"UA",669,"ORD","4-8am",150,-2,"No"
"UA",673,"ORD","8-Noon",158,1,"No"
"UA",679,"ORD","Noon-4pm",160,-2,"No"
"UA",681,"ORD","Noon-4pm",160,-6,"No"
"UA",683,"ORD","Noon-4pm",163,96,"Yes"
"UA",685,"ORD","Noon-4pm",160,0,"No"
"UA",689,"ORD","4-8pm",160,15,"No"
"UA",691,"ORD","4-8pm",160,68,"Yes"
"UA",693,"ORD","4-8pm",163,60,"Yes"
"UA",695,"ORD","8-Mid",160,31,"Yes"
"UA",745,"DEN","Noon-4pm",277,80,"Yes"
"UA",835,"ORD","8-Noon",160,25,"No"
"UA",847,"IAD","4-8pm",92,79,"Yes"
"UA",403,"DEN","4-8am",281,-1,"No"
"UA",405,"DEN","8-Noon",277,105,"Yes"
"UA",409,"DEN","4-8pm",279,10,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",667,"ORD","4-8am",143,-6,"No"
"UA",669,"ORD","4-8am",150,-5,"No"
"UA",673,"ORD","8-Noon",158,-4,"No"
"UA",677,"ORD","8-Noon",160,-2,"No"
"UA",679,"ORD","Noon-4pm",160,-2,"No"
"UA",681,"ORD","Noon-4pm",160,54,"Yes"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,45,"Yes"
"UA",687,"ORD","4-8pm",160,73,"Yes"
"UA",689,"ORD","4-8pm",160,98,"Yes"
"UA",691,"ORD","4-8pm",160,118,"Yes"
"UA",693,"ORD","4-8pm",160,0,"No"
"UA",695,"ORD","8-Mid",160,0,"No"
"UA",745,"DEN","Noon-4pm",277,39,"Yes"
"UA",835,"ORD","8-Noon",160,-7,"No"
"UA",847,"IAD","4-8pm",92,100,"Yes"
"UA",403,"DEN","4-8am",281,-4,"No"
"UA",405,"DEN","8-Noon",277,62,"Yes"
"UA",409,"DEN","4-8pm",279,20,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",667,"ORD","4-8am",143,-4,"No"
"UA",669,"ORD","4-8am",150,-3,"No"
"UA",673,"ORD","8-Noon",158,0,"No"
"UA",677,"ORD","8-Noon",160,67,"Yes"
"UA",679,"ORD","Noon-4pm",160,48,"Yes"
"UA",681,"ORD","Noon-4pm",160,9,"No"
"UA",683,"ORD","Noon-4pm",163,245,"Yes"
"UA",685,"ORD","Noon-4pm",160,0,"No"
"UA",687,"ORD","4-8pm",160,9,"No"
"UA",689,"ORD","4-8pm",160,140,"Yes"
"UA",691,"ORD","4-8pm",160,105,"Yes"
"UA",693,"ORD","4-8pm",160,115,"Yes"
"UA",695,"ORD","8-Mid",160,121,"Yes"
"UA",745,"DEN","Noon-4pm",277,8,"No"
"UA",835,"ORD","8-Noon",160,0,"No"
"UA",847,"IAD","4-8pm",92,83,"Yes"
"UA",403,"DEN","4-8am",281,-4,"No"
"UA",405,"DEN","8-Noon",277,47,"Yes"
"UA",409,"DEN","4-8pm",279,-2,"No"
"UA",511,"ORD","8-Noon",158,-6,"No"
"UA",667,"ORD","4-8am",143,-10,"No"
"UA",669,"ORD","4-8am",150,-2,"No"
"UA",673,"ORD","8-Noon",158,-2,"No"
"UA",677,"ORD","8-Noon",160,0,"No"
"UA",679,"ORD","Noon-4pm",160,-5,"No"
"UA",681,"ORD","Noon-4pm",160,-10,"No"
"UA",683,"ORD","Noon-4pm",163,-5,"No"
"UA",685,"ORD","Noon-4pm",160,-6,"No"
"UA",687,"ORD","4-8pm",160,-5,"No"
"UA",689,"ORD","4-8pm",160,19,"No"
"UA",691,"ORD","4-8pm",160,-2,"No"
"UA",693,"ORD","4-8pm",160,-9,"No"
"UA",695,"ORD","8-Mid",160,-8,"No"
"UA",745,"DEN","Noon-4pm",277,-6,"No"
"UA",835,"ORD","8-Noon",160,-4,"No"
"UA",847,"IAD","4-8pm",92,14,"No"
"UA",403,"DEN","4-8am",280,-5,"No"
"UA",405,"DEN","8-Noon",274,6,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",669,"ORD","4-8am",160,-1,"No"
"UA",677,"ORD","8-Noon",163,159,"Yes"
"UA",681,"ORD","Noon-4pm",160,-11,"No"
"UA",683,"ORD","Noon-4pm",146,6,"No"
"UA",689,"ORD","4-8pm",160,-6,"No"
"UA",691,"ORD","4-8pm",158,-4,"No"
"UA",745,"DEN","Noon-4pm",259,32,"Yes"
"UA",835,"ORD","8-Noon",160,-9,"No"
"UA",847,"IAD","4-8pm",68,-7,"No"
"UA",403,"DEN","4-8am",281,-4,"No"
"UA",405,"DEN","8-Noon",257,-6,"No"
"UA",409,"DEN","4-8pm",279,-7,"No"
"UA",511,"ORD","8-Noon",144,-11,"No"
"UA",669,"ORD","4-8am",160,-16,"No"
"UA",673,"ORD","8-Noon",148,-6,"No"
"UA",677,"ORD","8-Noon",163,-7,"No"
"UA",679,"ORD","Noon-4pm",160,-10,"No"
"UA",681,"ORD","Noon-4pm",160,-5,"No"
"UA",683,"ORD","Noon-4pm",160,-6,"No"
"UA",685,"ORD","Noon-4pm",160,21,"No"
"UA",687,"ORD","4-8pm",160,-5,"No"
"UA",689,"ORD","4-8pm",160,-10,"No"
"UA",691,"ORD","4-8pm",160,2,"No"
"UA",693,"ORD","4-8pm",160,20,"No"
"UA",745,"DEN","Noon-4pm",277,-9,"No"
"UA",847,"IAD","4-8pm",92,24,"No"
"UA",403,"DEN","4-8am",281,-4,"No"
"UA",405,"DEN","8-Noon",277,-6,"No"
"UA",409,"DEN","4-8pm",279,1,"No"
"UA",511,"ORD","8-Noon",158,-2,"No"
"UA",667,"ORD","4-8am",143,-3,"No"
"UA",669,"ORD","4-8am",150,-5,"No"
"UA",673,"ORD","8-Noon",158,-1,"No"
"UA",677,"ORD","8-Noon",160,2,"No"
"UA",679,"ORD","Noon-4pm",160,-7,"No"
"UA",681,"ORD","Noon-4pm",160,-9,"No"
"UA",683,"ORD","Noon-4pm",163,-5,"No"
"UA",685,"ORD","Noon-4pm",160,62,"Yes"
"UA",687,"ORD","4-8pm",160,-11,"No"
"UA",689,"ORD","4-8pm",160,-10,"No"
"UA",691,"ORD","4-8pm",160,9,"No"
"UA",693,"ORD","4-8pm",160,21,"No"
"UA",695,"ORD","8-Mid",160,0,"No"
"UA",745,"DEN","Noon-4pm",277,-9,"No"
"UA",835,"ORD","8-Noon",160,-11,"No"
"UA",847,"IAD","4-8pm",92,-4,"No"
"UA",403,"DEN","4-8am",281,-1,"No"
"UA",405,"DEN","8-Noon",277,-6,"No"
"UA",409,"DEN","4-8pm",279,1,"No"
"UA",511,"ORD","8-Noon",158,-5,"No"
"UA",667,"ORD","4-8am",143,-7,"No"
"UA",669,"ORD","4-8am",150,-9,"No"
"UA",673,"ORD","8-Noon",158,-4,"No"
"UA",679,"ORD","Noon-4pm",160,-7,"No"
"UA",681,"ORD","Noon-4pm",160,-6,"No"
"UA",683,"ORD","Noon-4pm",163,-1,"No"
"UA",685,"ORD","Noon-4pm",160,-8,"No"
"UA",689,"ORD","4-8pm",160,-3,"No"
"UA",691,"ORD","4-8pm",160,-9,"No"
"UA",693,"ORD","4-8pm",160,-3,"No"
"UA",695,"ORD","8-Mid",160,-6,"No"
"UA",745,"DEN","Noon-4pm",277,-9,"No"
"UA",835,"ORD","8-Noon",160,-6,"No"
"UA",847,"IAD","4-8pm",92,-7,"No"
"UA",403,"DEN","4-8am",281,-5,"No"
"UA",405,"DEN","8-Noon",277,13,"No"
"UA",409,"DEN","4-8pm",279,1,"No"
"UA",511,"ORD","8-Noon",158,-7,"No"
"UA",667,"ORD","4-8am",143,-9,"No"
"UA",669,"ORD","4-8am",150,-9,"No"
"UA",673,"ORD","8-Noon",158,-8,"No"
"UA",677,"ORD","8-Noon",160,29,"No"
"UA",679,"ORD","Noon-4pm",160,-10,"No"
"UA",681,"ORD","Noon-4pm",160,-5,"No"
"UA",683,"ORD","Noon-4pm",163,-7,"No"
"UA",685,"ORD","Noon-4pm",160,0,"No"
"UA",687,"ORD","4-8pm",160,24,"No"
"UA",689,"ORD","4-8pm",160,37,"Yes"
"UA",691,"ORD","4-8pm",160,20,"No"
"UA",693,"ORD","4-8pm",160,28,"No"
"UA",695,"ORD","8-Mid",160,-1,"No"
"UA",745,"DEN","Noon-4pm",277,-5,"No"
"UA",835,"ORD","8-Noon",160,0,"No"
"UA",847,"IAD","4-8pm",92,9,"No"
"UA",403,"DEN","4-8am",281,-3,"No"
"UA",405,"DEN","8-Noon",277,-1,"No"
"UA",409,"DEN","4-8pm",279,7,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",667,"ORD","4-8am",143,0,"No"
"UA",669,"ORD","4-8am",150,-5,"No"
"UA",673,"ORD","8-Noon",158,20,"No"
"UA",677,"ORD","8-Noon",160,-1,"No"
"UA",679,"ORD","Noon-4pm",160,45,"Yes"
"UA",681,"ORD","Noon-4pm",160,28,"No"
"UA",683,"ORD","Noon-4pm",163,69,"Yes"
"UA",685,"ORD","Noon-4pm",160,100,"Yes"
"UA",687,"ORD","4-8pm",160,0,"No"
"UA",689,"ORD","4-8pm",160,132,"Yes"
"UA",691,"ORD","4-8pm",160,83,"Yes"
"UA",693,"ORD","4-8pm",160,118,"Yes"
"UA",695,"ORD","8-Mid",160,90,"Yes"
"UA",745,"DEN","Noon-4pm",277,138,"Yes"
"UA",835,"ORD","8-Noon",160,-6,"No"
"UA",847,"IAD","4-8pm",92,85,"Yes"
"UA",403,"DEN","4-8am",281,2,"No"
"UA",405,"DEN","8-Noon",277,76,"Yes"
"UA",409,"DEN","4-8pm",279,15,"No"
"UA",511,"ORD","8-Noon",158,-4,"No"
"UA",667,"ORD","4-8am",143,-2,"No"
"UA",669,"ORD","4-8am",150,-2,"No"
"UA",673,"ORD","8-Noon",158,24,"No"
"UA",677,"ORD","8-Noon",160,17,"No"
"UA",679,"ORD","Noon-4pm",160,125,"Yes"
"UA",681,"ORD","Noon-4pm",160,45,"Yes"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,83,"Yes"
"UA",687,"ORD","4-8pm",160,0,"No"
"UA",689,"ORD","4-8pm",160,100,"Yes"
"UA",691,"ORD","4-8pm",160,80,"Yes"
"UA",693,"ORD","4-8pm",160,91,"Yes"
"UA",695,"ORD","8-Mid",160,20,"No"
"UA",745,"DEN","Noon-4pm",277,63,"Yes"
"UA",835,"ORD","8-Noon",160,-6,"No"
"UA",847,"IAD","4-8pm",92,21,"No"
"UA",403,"DEN","4-8am",280,3,"No"
"UA",405,"DEN","8-Noon",274,0,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",669,"ORD","4-8am",160,-5,"No"
"UA",677,"ORD","8-Noon",160,-2,"No"
"UA",681,"ORD","Noon-4pm",160,19,"No"
"UA",683,"ORD","Noon-4pm",151,2,"No"
"UA",689,"ORD","4-8pm",160,-3,"No"
"UA",745,"DEN","Noon-4pm",259,-1,"No"
"UA",835,"ORD","8-Noon",160,-5,"No"
"UA",847,"IAD","4-8pm",68,4,"No"
"UA",403,"DEN","4-8am",281,-1,"No"
"UA",405,"DEN","8-Noon",257,7,"No"
"UA",409,"DEN","4-8pm",279,-2,"No"
"UA",511,"ORD","8-Noon",144,-7,"No"
"UA",669,"ORD","4-8am",160,-3,"No"
"UA",673,"ORD","8-Noon",148,-4,"No"
"UA",677,"ORD","8-Noon",163,-8,"No"
"UA",679,"ORD","Noon-4pm",160,-8,"No"
"UA",681,"ORD","Noon-4pm",160,-7,"No"
"UA",683,"ORD","Noon-4pm",160,-6,"No"
"UA",685,"ORD","Noon-4pm",160,-7,"No"
"UA",687,"ORD","4-8pm",160,-9,"No"
"UA",689,"ORD","4-8pm",160,-2,"No"
"UA",691,"ORD","4-8pm",160,-10,"No"
"UA",693,"ORD","4-8pm",160,25,"No"
"UA",745,"DEN","Noon-4pm",277,-9,"No"
"UA",847,"IAD","4-8pm",92,-1,"No"
"UA",403,"DEN","4-8am",281,2,"No"
"UA",405,"DEN","8-Noon",277,-3,"No"
"UA",409,"DEN","4-8pm",279,-3,"No"
"UA",511,"ORD","8-Noon",158,-6,"No"
"UA",667,"ORD","4-8am",143,-3,"No"
"UA",669,"ORD","4-8am",150,-2,"No"
"UA",673,"ORD","8-Noon",158,-5,"No"
"UA",677,"ORD","8-Noon",160,-6,"No"
"UA",679,"ORD","Noon-4pm",160,-4,"No"
"UA",681,"ORD","Noon-4pm",160,-8,"No"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,18,"No"
"UA",687,"ORD","4-8pm",160,-6,"No"
"UA",689,"ORD","4-8pm",163,14,"No"
"UA",693,"ORD","4-8pm",160,-7,"No"
"UA",695,"ORD","8-Mid",160,185,"Yes"
"UA",745,"DEN","Noon-4pm",277,-8,"No"
"UA",835,"ORD","8-Noon",160,0,"No"
"UA",847,"IAD","4-8pm",92,-6,"No"
"UA",403,"DEN","4-8am",281,-2,"No"
"UA",405,"DEN","8-Noon",277,-8,"No"
"UA",409,"DEN","4-8pm",279,2,"No"
"UA",511,"ORD","8-Noon",158,105,"Yes"
"UA",667,"ORD","4-8am",143,1,"No"
"UA",669,"ORD","4-8am",150,138,"Yes"
"UA",673,"ORD","8-Noon",158,-5,"No"
"UA",679,"ORD","Noon-4pm",160,-6,"No"
"UA",681,"ORD","Noon-4pm",160,-4,"No"
"UA",683,"ORD","Noon-4pm",163,-2,"No"
"UA",685,"ORD","Noon-4pm",160,-8,"No"
"UA",689,"ORD","4-8pm",160,-7,"No"
"UA",691,"ORD","4-8pm",160,-5,"No"
"UA",693,"ORD","4-8pm",160,-2,"No"
"UA",695,"ORD","8-Mid",160,5,"No"
"UA",745,"DEN","Noon-4pm",277,-4,"No"
"UA",835,"ORD","8-Noon",160,9,"No"
"UA",847,"IAD","4-8pm",92,-7,"No"
"UA",403,"DEN","4-8am",281,1,"No"
"UA",405,"DEN","8-Noon",277,-5,"No"
"UA",409,"DEN","4-8pm",279,-4,"No"
"UA",511,"ORD","8-Noon",158,-6,"No"
"UA",667,"ORD","4-8am",143,-7,"No"
"UA",669,"ORD","4-8am",150,3,"No"
"UA",673,"ORD","8-Noon",158,-11,"No"
"UA",677,"ORD","8-Noon",160,-8,"No"
"UA",679,"ORD","Noon-4pm",160,-5,"No"
"UA",681,"ORD","Noon-4pm",160,0,"No"
"UA",683,"ORD","Noon-4pm",163,-3,"No"
"UA",685,"ORD","Noon-4pm",160,-6,"No"
"UA",687,"ORD","4-8pm",160,-5,"No"
"UA",689,"ORD","4-8pm",160,-2,"No"
"UA",691,"ORD","4-8pm",160,-5,"No"
"UA",693,"ORD","4-8pm",160,-2,"No"
"UA",695,"ORD","8-Mid",160,-8,"No"
"UA",745,"DEN","Noon-4pm",277,-1,"No"
"UA",835,"ORD","8-Noon",160,-8,"No"
"UA",847,"IAD","4-8pm",92,10,"No"
"UA",403,"DEN","4-8am",281,-3,"No"
"UA",405,"DEN","8-Noon",277,-9,"No"
"UA",409,"DEN","4-8pm",279,-2,"No"
"UA",511,"ORD","8-Noon",158,14,"No"
"UA",667,"ORD","4-8am",143,-6,"No"
"UA",669,"ORD","4-8am",150,-4,"No"
"UA",673,"ORD","8-Noon",158,0,"No"
"UA",677,"ORD","8-Noon",160,-4,"No"
"UA",679,"ORD","Noon-4pm",160,-5,"No"
"UA",681,"ORD","Noon-4pm",160,4,"No"
"UA",683,"ORD","Noon-4pm",163,-7,"No"
"UA",685,"ORD","Noon-4pm",160,-8,"No"
"UA",687,"ORD","4-8pm",160,-6,"No"
"UA",689,"ORD","4-8pm",160,8,"No"
"UA",691,"ORD","4-8pm",160,-8,"No"
"UA",693,"ORD","4-8pm",160,-1,"No"
"UA",695,"ORD","8-Mid",160,-5,"No"
"UA",745,"DEN","Noon-4pm",277,-7,"No"
"UA",835,"ORD","8-Noon",160,-10,"No"
"UA",847,"IAD","4-8pm",92,17,"No"
"UA",403,"DEN","4-8am",281,0,"No"
"UA",405,"DEN","8-Noon",277,1,"No"
"UA",409,"DEN","4-8pm",279,-1,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",667,"ORD","4-8am",143,-4,"No"
"UA",669,"ORD","4-8am",150,-1,"No"
"UA",673,"ORD","8-Noon",158,-7,"No"
"UA",677,"ORD","8-Noon",160,-2,"No"
"UA",679,"ORD","Noon-4pm",160,-6,"No"
"UA",681,"ORD","Noon-4pm",160,105,"Yes"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,-4,"No"
"UA",687,"ORD","4-8pm",160,-5,"No"
"UA",689,"ORD","4-8pm",160,7,"No"
"UA",691,"ORD","4-8pm",160,0,"No"
"UA",693,"ORD","4-8pm",160,-7,"No"
"UA",695,"ORD","8-Mid",160,0,"No"
"UA",745,"DEN","Noon-4pm",277,-2,"No"
"UA",835,"ORD","8-Noon",160,-2,"No"
"UA",847,"IAD","4-8pm",92,11,"No"
"UA",403,"DEN","4-8am",280,-5,"No"
"UA",405,"DEN","8-Noon",274,5,"No"
"UA",511,"ORD","8-Noon",158,240,"Yes"
"UA",561,"ORD","Noon-4pm",160,-4,"No"
"UA",673,"ORD","8-Noon",160,18,"No"
"UA",677,"ORD","8-Noon",160,5,"No"
"UA",681,"ORD","Noon-4pm",160,-3,"No"
"UA",683,"ORD","Noon-4pm",151,-6,"No"
"UA",689,"ORD","4-8pm",160,-11,"No"
"UA",745,"DEN","Noon-4pm",277,-11,"No"
"UA",835,"ORD","4-8am",160,-3,"No"
"UA",403,"DEN","4-8am",284,-6,"No"
"UA",405,"DEN","8-Noon",277,-3,"No"
"UA",669,"ORD","4-8am",160,-4,"No"
"UA",679,"ORD","Noon-4pm",160,-5,"No"
"UA",683,"ORD","Noon-4pm",160,-8,"No"
"UA",689,"ORD","4-8pm",160,2,"No"
"UA",745,"DEN","Noon-4pm",277,0,"No"
"UA",999,"ORD","8-Noon",160,-2,"No"
"UA",403,"DEN","4-8am",281,-8,"No"
"UA",405,"DEN","8-Noon",274,-6,"No"
"UA",409,"DEN","4-8pm",279,64,"Yes"
"UA",511,"ORD","8-Noon",160,-2,"No"
"UA",667,"ORD","4-8am",143,-6,"No"
"UA",669,"ORD","4-8am",150,-4,"No"
"UA",673,"ORD","8-Noon",158,0,"No"
"UA",677,"ORD","8-Noon",158,-3,"No"
"UA",679,"ORD","Noon-4pm",160,-5,"No"
"UA",681,"ORD","Noon-4pm",160,-7,"No"
"UA",683,"ORD","Noon-4pm",163,-7,"No"
"UA",685,"ORD","Noon-4pm",160,-7,"No"
"UA",687,"ORD","4-8pm",160,-12,"No"
"UA",689,"ORD","4-8pm",160,-2,"No"
"UA",691,"ORD","4-8pm",160,-2,"No"
"UA",693,"ORD","4-8pm",160,17,"No"
"UA",695,"ORD","8-Mid",160,56,"Yes"
"UA",745,"DEN","Noon-4pm",277,36,"Yes"
"UA",847,"IAD","4-8pm",92,2,"No"
"UA",403,"DEN","4-8am",281,-5,"No"
"UA",405,"DEN","8-Noon",277,-7,"No"
"UA",409,"DEN","4-8pm",279,5,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",667,"ORD","4-8am",143,-2,"No"
"UA",669,"ORD","4-8am",150,-8,"No"
"UA",673,"ORD","8-Noon",158,2,"No"
"UA",677,"ORD","8-Noon",160,-8,"No"
"UA",679,"ORD","Noon-4pm",160,-8,"No"
"UA",681,"ORD","Noon-4pm",160,3,"No"
"UA",683,"ORD","Noon-4pm",163,51,"Yes"
"UA",685,"ORD","Noon-4pm",160,0,"No"
"UA",689,"ORD","4-8pm",160,29,"No"
"UA",691,"ORD","4-8pm",160,1,"No"
"UA",693,"ORD","4-8pm",160,0,"No"
"UA",695,"ORD","8-Mid",160,31,"Yes"
"UA",745,"DEN","Noon-4pm",277,27,"No"
"UA",835,"ORD","8-Noon",160,-9,"No"
"UA",847,"IAD","4-8pm",92,22,"No"
"UA",403,"DEN","4-8am",281,-6,"No"
"UA",405,"DEN","8-Noon",277,2,"No"
"UA",409,"DEN","4-8pm",279,17,"No"
"UA",511,"ORD","8-Noon",158,-2,"No"
"UA",667,"ORD","4-8am",143,-8,"No"
"UA",669,"ORD","4-8am",150,-5,"No"
"UA",673,"ORD","8-Noon",158,53,"Yes"
"UA",677,"ORD","8-Noon",160,6,"No"
"UA",679,"ORD","Noon-4pm",160,36,"Yes"
"UA",681,"ORD","Noon-4pm",160,18,"No"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,19,"No"
"UA",687,"ORD","4-8pm",160,0,"No"
"UA",689,"ORD","4-8pm",160,38,"Yes"
"UA",691,"ORD","4-8pm",160,0,"No"
"UA",693,"ORD","4-8pm",160,11,"No"
"UA",695,"ORD","8-Mid",160,36,"Yes"
"UA",745,"DEN","Noon-4pm",277,-6,"No"
"UA",835,"ORD","8-Noon",160,-8,"No"
"UA",847,"IAD","4-8pm",92,31,"Yes"
"UA",403,"DEN","4-8am",281,-4,"No"
"UA",405,"DEN","8-Noon",277,58,"Yes"
"UA",409,"DEN","4-8pm",279,59,"Yes"
"UA",511,"ORD","8-Noon",158,-1,"No"
"UA",667,"ORD","4-8am",143,-7,"No"
"UA",669,"ORD","4-8am",150,-5,"No"
"UA",673,"ORD","8-Noon",158,6,"No"
"UA",677,"ORD","8-Noon",160,41,"Yes"
"UA",679,"ORD","Noon-4pm",160,49,"Yes"
"UA",681,"ORD","Noon-4pm",160,105,"Yes"
"UA",683,"ORD","Noon-4pm",163,0,"No"
"UA",685,"ORD","Noon-4pm",160,9,"No"
"UA",687,"ORD","4-8pm",160,182,"Yes"
"UA",689,"ORD","4-8pm",160,142,"Yes"
"UA",691,"ORD","4-8pm",160,228,"Yes"
"UA",693,"ORD","4-8pm",160,0,"No"
"UA",695,"ORD","8-Mid",160,114,"Yes"
"UA",745,"DEN","Noon-4pm",277,-7,"No"
"UA",835,"ORD","8-Noon",160,-1,"No"
"UA",847,"IAD","4-8pm",92,53,"Yes"
"UA",403,"DEN","4-8am",281,5,"No"
"UA",405,"DEN","8-Noon",277,-2,"No"
"UA",409,"DEN","4-8pm",279,26,"No"
"UA",511,"ORD","8-Noon",158,-3,"No"
"UA",667,"ORD","4-8am",143,59,"Yes"
"UA",669,"ORD","4-8am",150,-4,"No"
"UA",673,"ORD","8-Noon",158,-4,"No"
"UA",677,"ORD","8-Noon",160,14,"No"
"UA",679,"ORD","Noon-4pm",160,0,"No"
"UA",681,"ORD","Noon-4pm",160,28,"No"
"UA",683,"ORD","Noon-4pm",163,104,"Yes"
"UA",685,"ORD","Noon-4pm",160,89,"Yes"
"UA",687,"ORD","4-8pm",160,99,"Yes"
"UA",689,"ORD","4-8pm",160,68,"Yes"
"UA",691,"ORD","4-8pm",160,140,"Yes"
"UA",693,"ORD","4-8pm",160,85,"Yes"
"UA",695,"ORD","8-Mid",160,54,"Yes"
"UA",745,"DEN","Noon-4pm",277,12,"No"
"UA",835,"ORD","8-Noon",160,-7,"No"
"UA",847,"IAD","4-8pm",92,38,"Yes"
"UA",403,"DEN","4-8am",280,8,"No"
"UA",405,"DEN","8-Noon",274,-3,"No"
"UA",511,"ORD","8-Noon",158,0,"No"
"UA",669,"ORD","4-8am",160,-1,"No"
"UA",677,"ORD","8-Noon",163,65,"Yes"
"UA",681,"ORD","Noon-4pm",160,-7,"No"
"UA",683,"ORD","Noon-4pm",148,-4,"No"
"UA",689,"ORD","4-8pm",160,-2,"No"
"UA",745,"DEN","Noon-4pm",259,-7,"No"
"UA",835,"ORD","8-Noon",160,-8,"No"
"UA",847,"IAD","4-8pm",68,-4,"No"
"UA",403,"DEN","4-8am",281,-1,"No"
"UA",405,"DEN","8-Noon",257,3,"No"
