"exp","wks","bluecol","ind","south","smsa","married","sex","union","ed","black","wage"
18,52,"no",0,"no","no","no","male","no",16,"no",900
19,50,"no",0,"no","no","no","male","no",16,"no",950
20,49,"no",0,"no","no","no","male","no",16,"no",1075
21,50,"no",0,"no","no","no","male","no",16,"no",1145
22,50,"no",0,"no","no","no","male","no",16,"no",960
23,50,"no",0,"no","no","no","male","no",16,"no",1325
2,51,"yes",1,"no","no","yes","male","no",9,"no",320
3,49,"yes",1,"no","no","yes","male","no",9,"no",340
4,52,"yes",1,"no","no","yes","male","yes",9,"no",320
5,49,"yes",1,"no","no","yes","male","yes",9,"no",734
6,49,"yes",1,"no","no","yes","male","yes",9,"no",796
7,35,"yes",1,"no","no","yes","male","yes",9,"no",1200
8,44,"yes",1,"no","no","yes","male","yes",9,"no",951
3,39,"yes",1,"yes","no","yes","male","yes",10,"no",484
4,48,"yes",1,"yes","no","yes","male","yes",10,"no",525
5,50,"yes",1,"yes","no","yes","male","yes",10,"no",598
6,49,"yes",1,"yes","no","yes","male","yes",10,"no",627
7,50,"yes",1,"yes","no","yes","male","yes",10,"no",675
8,49,"yes",1,"yes","no","yes","male","yes",10,"no",784
9,47,"yes",1,"yes","no","yes","male","yes",10,"no",857
5,45,"no",0,"yes","no","yes","male","no",16,"no",500
6,45,"no",0,"yes","no","yes","male","no",16,"no",600
7,49,"no",0,"yes","no","yes","male","no",16,"no",600
8,49,"no",0,"yes","no","yes","male","no",16,"no",710
9,49,"no",0,"yes","no","yes","male","no",16,"no",813
10,51,"no",0,"yes","no","yes","male","no",16,"no",680
11,50,"no",0,"yes","no","yes","male","no",16,"no",704
11,49,"no",0,"yes","yes","yes","male","yes",12,"yes",516
12,49,"no",0,"yes","yes","yes","male","yes",12,"yes",562
13,49,"no",0,"yes","yes","no","male","yes",12,"yes",607
14,49,"no",0,"yes","yes","no","male","yes",12,"yes",653
15,43,"no",0,"yes","yes","no","male","yes",12,"yes",706
16,46,"no",0,"yes","yes","no","male","yes",12,"yes",795
17,44,"no",0,"yes","yes","no","male","yes",12,"yes",920
1,35,"yes",1,"no","yes","no","male","no",14,"no",300
2,49,"yes",1,"no","yes","no","male","no",14,"no",375
3,47,"yes",1,"no","yes","no","male","no",14,"no",450
4,48,"no",1,"no","yes","no","male","no",14,"no",420
5,52,"no",1,"no","yes","no","male","no",14,"no",578
6,49,"no",1,"no","yes","no","male","no",14,"no",668
7,49,"no",1,"no","yes","no","male","no",14,"no",719
5,50,"no",0,"no","yes","yes","male","no",16,"yes",510
6,50,"no",0,"no","yes","yes","male","no",16,"yes",600
7,50,"no",0,"no","yes","yes","male","no",16,"yes",670
8,50,"no",0,"no","yes","yes","male","no",16,"yes",775
9,49,"no",0,"no","yes","yes","male","no",16,"yes",850
10,49,"no",0,"no","yes","yes","male","no",16,"yes",1250
11,50,"no",0,"no","yes","yes","male","no",16,"yes",1400
4,40,"no",0,"yes","no","yes","male","no",17,"no",445
5,32,"no",0,"yes","no","yes","male","no",17,"no",528
6,37,"no",0,"yes","no","yes","male","no",17,"no",567
7,35,"no",0,"yes","no","yes","male","no",17,"no",657
8,37,"no",0,"yes","no","yes","male","no",17,"no",719
9,35,"no",0,"yes","no","yes","male","no",17,"no",750
10,37,"no",0,"yes","no","yes","male","no",17,"no",950
33,44,"no",0,"no","yes","yes","male","no",12,"no",998
34,47,"no",0,"no","yes","yes","male","no",12,"no",998
35,47,"no",0,"no","yes","yes","male","no",12,"no",1165
36,47,"no",0,"no","yes","yes","male","yes",12,"no",1207
37,45,"no",0,"no","yes","yes","male","yes",12,"no",1026
38,47,"no",0,"no","yes","yes","male","no",12,"no",1750
39,50,"no",0,"no","yes","yes","male","no",12,"no",1600
8,50,"no",1,"no","yes","yes","male","no",17,"no",998
9,48,"no",1,"no","yes","yes","male","no",17,"no",998
10,47,"no",1,"no","yes","yes","male","no",17,"no",1248
11,44,"no",1,"no","yes","yes","male","no",17,"no",1300
12,46,"no",1,"no","yes","yes","male","no",17,"no",1437
13,47,"no",1,"no","yes","yes","male","no",17,"no",1737
14,46,"no",1,"no","yes","yes","male","no",17,"no",1732
2,49,"no",0,"no","yes","yes","male","no",16,"no",718
3,49,"no",0,"no","yes","yes","male","no",16,"no",875
4,50,"no",0,"no","yes","yes","male","no",16,"no",975
5,49,"no",0,"no","yes","yes","male","no",16,"no",1200
6,48,"no",0,"no","yes","yes","male","no",16,"no",1350
7,48,"no",0,"no","yes","yes","male","no",16,"no",1800
8,46,"no",0,"no","yes","yes","male","no",16,"no",2000
5,29,"yes",0,"yes","no","yes","male","no",12,"no",310
6,49,"yes",0,"yes","no","yes","male","no",12,"no",390
7,51,"yes",0,"yes","no","yes","male","no",12,"no",435
8,49,"yes",0,"yes","no","yes","male","no",12,"no",472
9,50,"yes",0,"yes","no","yes","male","no",12,"no",525
10,46,"yes",0,"yes","no","yes","male","no",12,"no",571
11,49,"yes",0,"yes","no","yes","male","no",12,"no",630
32,50,"no",0,"no","no","yes","male","no",13,"no",540
33,50,"no",0,"no","no","yes","male","no",13,"no",599
34,48,"no",0,"no","no","yes","male","no",13,"no",600
35,48,"no",0,"no","no","yes","male","no",13,"no",600
36,49,"no",0,"no","no","yes","male","no",13,"no",659
37,48,"no",0,"no","no","yes","male","no",13,"no",728
38,49,"no",0,"no","no","yes","male","no",13,"no",748
5,51,"no",1,"yes","no","yes","male","no",12,"no",360
6,48,"no",1,"yes","no","yes","male","no",12,"no",397
7,51,"yes",1,"yes","no","yes","male","no",12,"no",397
8,51,"yes",1,"yes","no","yes","male","no",12,"no",492
9,51,"yes",1,"yes","no","yes","male","no",12,"no",327
10,50,"yes",1,"yes","no","yes","male","no",12,"no",408
11,51,"yes",1,"yes","no","yes","male","no",12,"no",451
9,51,"yes",0,"yes","no","yes","male","no",12,"no",265
10,50,"yes",0,"yes","no","yes","male","no",12,"no",290
11,51,"yes",0,"yes","no","yes","male","no",12,"no",300
12,50,"yes",0,"yes","no","yes","male","no",12,"no",340
13,49,"yes",0,"yes","no","yes","male","no",12,"no",400
14,51,"yes",0,"yes","no","yes","male","no",12,"no",435
15,50,"yes",0,"yes","no","yes","male","no",12,"no",465
7,51,"no",0,"no","yes","no","male","no",17,"no",808
8,51,"no",0,"no","yes","no","male","no",17,"no",835
9,49,"no",0,"no","yes","no","male","no",17,"no",947
10,50,"no",0,"no","yes","no","male","no",17,"no",989
11,50,"no",0,"no","yes","yes","male","no",17,"no",1250
12,51,"no",0,"no","yes","yes","male","no",17,"no",1059
13,49,"no",0,"no","yes","yes","male","no",17,"no",1280
7,48,"no",0,"no","yes","yes","male","no",16,"no",419
8,50,"no",0,"no","yes","yes","male","no",16,"no",700
9,50,"no",0,"no","yes","yes","male","no",16,"no",778
10,50,"no",0,"no","yes","yes","male","no",16,"no",950
11,50,"no",0,"no","yes","yes","male","no",16,"no",1200
12,49,"no",0,"yes","yes","yes","male","no",16,"no",849
13,49,"no",0,"yes","yes","yes","male","no",16,"no",1091
10,48,"no",1,"no","yes","yes","male","no",16,"no",750
11,51,"no",1,"no","yes","yes","male","no",16,"no",875
12,50,"no",1,"no","yes","yes","male","no",16,"no",875
13,47,"no",1,"no","yes","yes","male","no",16,"no",1000
14,51,"no",1,"no","yes","yes","male","no",16,"no",1113
15,50,"no",1,"no","yes","yes","male","no",16,"no",1167
16,51,"no",1,"no","yes","yes","male","no",16,"no",1285
3,50,"no",0,"no","yes","yes","male","no",17,"no",570
4,49,"no",0,"no","yes","yes","male","no",17,"no",629
5,50,"no",0,"no","yes","yes","male","no",17,"no",750
6,49,"no",0,"no","yes","yes","male","no",17,"no",1050
7,48,"no",0,"no","yes","yes","male","no",17,"no",1497
8,50,"no",0,"no","yes","yes","male","no",17,"no",1617
9,48,"no",0,"no","yes","yes","male","no",17,"no",2000
25,47,"no",1,"no","yes","yes","male","no",16,"no",998
26,47,"no",1,"no","yes","yes","male","no",16,"no",998
27,47,"no",1,"no","yes","yes","male","no",16,"no",1916
28,46,"no",1,"no","yes","yes","male","no",16,"no",2000
29,45,"no",1,"no","yes","yes","male","no",16,"no",2000
30,45,"no",1,"no","yes","yes","male","no",16,"no",2000
31,45,"no",1,"no","yes","yes","male","no",16,"no",2455
8,50,"no",0,"no","yes","yes","male","yes",14,"no",703
9,50,"no",0,"no","yes","yes","male","yes",14,"no",700
10,50,"no",0,"no","yes","yes","male","yes",14,"no",760
11,49,"no",0,"no","yes","yes","male","yes",14,"no",733
12,48,"no",0,"no","yes","yes","male","yes",14,"no",920
13,48,"no",0,"no","yes","yes","male","yes",14,"no",1000
14,49,"no",0,"no","yes","yes","male","yes",14,"no",1200
17,46,"no",0,"yes","yes","yes","male","no",13,"no",692
18,47,"no",0,"yes","yes","yes","male","no",13,"no",690
19,46,"no",0,"yes","yes","yes","male","no",13,"no",805
20,45,"no",0,"yes","yes","yes","male","no",13,"no",938
21,47,"no",0,"yes","yes","yes","male","no",13,"no",975
22,49,"no",0,"yes","yes","yes","male","no",13,"no",1150
23,46,"no",0,"yes","yes","yes","male","no",13,"no",1165
5,51,"no",0,"no","yes","yes","male","no",17,"no",780
6,52,"no",0,"no","yes","yes","male","no",17,"no",805
7,51,"no",0,"no","yes","yes","male","no",17,"no",875
8,51,"no",0,"no","yes","yes","male","no",17,"no",800
9,50,"no",0,"no","yes","yes","male","no",17,"no",1000
10,51,"no",0,"no","yes","yes","male","no",17,"no",1043
11,51,"no",0,"no","yes","yes","male","no",17,"no",1300
4,49,"yes",0,"yes","no","yes","male","yes",14,"no",702
5,49,"yes",0,"yes","no","yes","male","yes",14,"no",800
6,49,"yes",0,"yes","no","yes","male","yes",14,"no",1225
7,49,"yes",0,"yes","no","yes","male","no",14,"no",1305
8,49,"yes",0,"yes","no","yes","male","yes",14,"no",1113
9,49,"yes",0,"yes","no","yes","male","no",14,"no",1015
10,49,"no",0,"yes","no","yes","male","yes",14,"no",1333
39,47,"no",1,"no","yes","yes","male","no",12,"no",990
40,47,"no",1,"no","yes","yes","male","no",12,"no",998
41,46,"no",1,"no","yes","yes","male","no",12,"no",1250
42,44,"no",1,"no","yes","yes","male","no",12,"no",1350
43,44,"no",1,"no","yes","yes","male","no",12,"no",1500
44,41,"no",1,"no","yes","yes","male","no",12,"no",1200
45,46,"yes",1,"no","yes","yes","male","no",12,"no",1520
11,49,"yes",0,"no","yes","yes","male","yes",12,"no",765
12,49,"yes",0,"no","yes","yes","male","yes",12,"no",830
13,41,"yes",1,"no","yes","yes","male","no",12,"no",888
14,47,"yes",0,"no","yes","yes","male","yes",12,"no",1018
15,28,"yes",0,"no","yes","yes","male","yes",12,"no",1050
16,46,"yes",0,"no","yes","yes","male","yes",12,"no",1100
17,48,"yes",0,"no","yes","yes","male","yes",12,"no",1203
7,49,"yes",0,"no","yes","yes","male","yes",12,"no",711
8,50,"yes",0,"no","yes","yes","male","yes",12,"no",875
9,47,"yes",0,"no","yes","yes","male","yes",12,"no",840
10,43,"yes",0,"no","yes","yes","male","yes",12,"no",883
11,47,"yes",0,"no","yes","yes","male","yes",12,"no",879
12,48,"yes",0,"no","yes","yes","male","yes",12,"no",1080
13,48,"yes",0,"no","yes","yes","male","yes",12,"no",1130
8,47,"no",0,"no","yes","yes","male","no",16,"yes",950
9,49,"no",0,"no","yes","yes","male","no",16,"yes",850
10,49,"no",0,"no","yes","yes","male","no",16,"yes",950
11,49,"no",0,"no","yes","yes","male","no",16,"yes",1000
12,49,"no",0,"no","yes","yes","male","no",16,"yes",1250
13,47,"no",0,"no","yes","yes","male","no",16,"yes",800
14,46,"no",0,"no","yes","yes","male","no",16,"yes",833
6,50,"yes",0,"no","yes","no","male","no",12,"no",300
7,50,"yes",0,"no","yes","no","male","no",12,"no",400
8,51,"yes",0,"no","yes","yes","male","no",12,"no",400
9,50,"yes",0,"no","yes","yes","male","no",12,"no",400
10,51,"yes",0,"no","yes","yes","male","no",12,"no",400
11,51,"yes",0,"no","yes","yes","male","no",12,"no",600
12,51,"yes",0,"no","yes","yes","male","no",12,"no",412
8,48,"yes",0,"no","yes","yes","male","yes",14,"no",908
9,50,"yes",0,"no","yes","yes","male","yes",14,"no",854
10,47,"yes",0,"no","yes","yes","male","yes",14,"no",900
11,49,"yes",0,"no","yes","yes","male","yes",14,"no",978
12,48,"yes",0,"no","yes","yes","male","yes",14,"no",1079
13,47,"yes",0,"no","yes","yes","male","yes",14,"no",1190
14,47,"yes",0,"no","yes","yes","male","yes",14,"no",1315
3,39,"no",0,"no","yes","no","female","yes",16,"no",420
4,35,"no",0,"no","yes","no","female","yes",16,"no",354
5,37,"no",0,"no","yes","no","female","yes",16,"no",500
6,38,"no",0,"no","yes","no","female","yes",16,"no",625
7,39,"no",0,"no","yes","no","female","yes",16,"no",479
8,39,"no",0,"no","yes","no","female","yes",16,"no",700
9,37,"no",0,"no","yes","no","female","yes",16,"no",700
6,38,"no",0,"no","no","yes","male","yes",17,"no",575
7,37,"no",0,"no","no","yes","male","yes",17,"no",680
8,39,"no",0,"no","no","yes","male","yes",17,"no",683
9,35,"no",0,"no","no","yes","male","yes",17,"no",790
10,36,"no",0,"no","no","yes","male","yes",17,"no",750
11,39,"no",1,"no","no","yes","male","no",17,"no",900
12,49,"no",0,"no","no","yes","male","yes",17,"no",870
1,51,"no",0,"no","no","no","female","no",16,"no",370
2,40,"no",0,"no","no","no","female","no",16,"no",360
3,39,"no",0,"no","no","no","female","no",16,"no",400
4,39,"no",0,"yes","yes","no","female","no",16,"no",525
5,39,"no",0,"yes","yes","no","female","no",16,"no",575
6,39,"no",0,"yes","no","no","female","no",16,"no",700
7,40,"no",0,"yes","no","no","female","no",16,"no",680
13,48,"no",0,"no","yes","no","female","yes",14,"no",338
14,48,"no",0,"no","yes","no","female","no",14,"no",364
15,49,"no",0,"no","yes","no","female","yes",14,"no",389
16,47,"yes",0,"no","yes","no","female","yes",14,"no",415
17,49,"no",0,"no","yes","no","female","yes",14,"no",449
18,46,"no",0,"no","yes","no","female","yes",14,"no",561
19,38,"no",0,"no","yes","no","female","no",14,"no",506
27,47,"no",1,"no","yes","yes","male","no",15,"no",998
28,47,"no",1,"no","yes","yes","male","no",15,"no",998
29,48,"no",1,"no","yes","yes","male","no",15,"no",1500
30,47,"no",1,"no","yes","yes","male","no",15,"no",1550
31,47,"no",1,"no","yes","yes","male","no",15,"no",1650
32,48,"no",1,"no","yes","yes","male","no",15,"no",1850
33,47,"no",1,"no","yes","yes","male","no",15,"no",1778
3,50,"no",1,"no","yes","yes","male","no",16,"no",733
4,49,"no",1,"no","yes","yes","male","no",16,"no",985
5,49,"no",1,"no","yes","yes","male","no",16,"no",1083
6,49,"no",1,"no","yes","yes","male","no",16,"no",1078
7,49,"no",1,"no","yes","yes","male","no",16,"no",1485
8,47,"no",1,"no","yes","yes","male","no",16,"no",1626
9,46,"no",1,"no","yes","yes","male","no",16,"no",1485
16,50,"yes",1,"no","no","yes","male","no",12,"no",578
17,51,"yes",1,"no","no","yes","male","no",12,"no",619
18,48,"yes",1,"no","no","yes","male","no",12,"no",637
19,47,"yes",1,"no","no","yes","male","no",12,"no",723
20,49,"yes",1,"no","no","yes","male","no",12,"no",695
21,51,"yes",1,"no","no","yes","male","yes",12,"no",988
22,50,"yes",1,"no","no","yes","male","yes",12,"no",1037
14,49,"no",0,"yes","yes","no","female","no",12,"no",365
15,48,"no",0,"yes","yes","no","female","no",12,"no",489
16,49,"no",0,"yes","yes","no","female","no",12,"no",417
17,49,"no",0,"yes","yes","no","female","no",12,"no",569
18,49,"no",0,"yes","yes","no","female","no",12,"no",608
19,49,"no",0,"yes","yes","no","female","no",12,"no",599
20,48,"no",0,"yes","yes","no","female","no",12,"no",641
35,48,"no",1,"yes","yes","yes","male","no",16,"no",555
36,48,"no",1,"yes","yes","yes","male","no",16,"no",591
37,47,"no",1,"yes","yes","yes","male","no",16,"no",632
38,48,"no",1,"yes","yes","yes","male","no",16,"no",674
39,47,"no",1,"yes","yes","yes","male","no",16,"no",713
40,48,"no",0,"yes","yes","yes","male","no",16,"no",779
41,44,"no",1,"yes","yes","yes","male","no",16,"no",866
31,50,"yes",0,"no","no","yes","male","yes",12,"no",550
32,50,"yes",0,"no","no","yes","male","no",12,"no",550
33,50,"yes",0,"no","no","yes","male","no",12,"no",600
34,42,"yes",0,"no","no","yes","male","yes",12,"no",600
35,24,"yes",0,"no","no","yes","male","no",12,"no",600
36,49,"yes",0,"no","no","yes","male","no",12,"no",650
37,49,"no",0,"no","no","yes","male","no",12,"no",800
7,45,"yes",0,"yes","yes","yes","male","no",12,"no",450
8,50,"yes",0,"yes","yes","yes","male","no",12,"no",437
9,25,"yes",0,"yes","yes","yes","male","no",12,"no",3900
10,52,"yes",0,"yes","yes","yes","male","no",12,"no",675
11,52,"yes",0,"yes","yes","yes","male","no",12,"no",645
12,52,"yes",0,"yes","yes","yes","male","no",12,"no",896
13,50,"yes",0,"yes","yes","yes","male","no",12,"no",1020
2,32,"no",0,"yes","yes","no","male","no",17,"no",625
3,50,"no",0,"yes","yes","no","male","no",17,"no",730
4,50,"no",0,"no","yes","no","male","no",17,"no",800
5,47,"no",0,"no","yes","yes","male","no",17,"no",950
6,50,"no",0,"no","yes","yes","male","no",17,"no",1200
7,49,"no",0,"no","yes","yes","male","no",17,"no",1215
8,49,"no",0,"no","yes","yes","male","no",17,"no",1450
30,46,"no",0,"no","yes","yes","male","yes",14,"no",778
31,44,"no",0,"no","yes","yes","male","yes",14,"no",846
32,46,"no",0,"no","yes","yes","male","yes",14,"no",1000
33,43,"no",0,"no","yes","yes","male","yes",14,"no",1000
34,46,"no",0,"no","yes","yes","male","yes",14,"no",1000
35,21,"no",0,"no","yes","yes","male","yes",14,"no",1025
36,48,"no",0,"no","yes","yes","male","yes",14,"no",1000
6,48,"yes",0,"yes","no","yes","male","yes",14,"no",720
7,52,"yes",0,"yes","no","yes","male","yes",14,"no",875
8,50,"yes",0,"yes","no","yes","male","yes",14,"no",937
9,52,"yes",0,"yes","no","yes","male","yes",14,"no",1050
10,51,"no",0,"yes","no","yes","male","no",14,"no",1125
11,49,"no",0,"yes","no","yes","male","yes",14,"no",1193
12,49,"no",0,"yes","no","yes","male","yes",14,"no",1278
25,51,"yes",0,"yes","yes","yes","male","yes",11,"no",937
26,44,"no",0,"yes","yes","yes","male","no",11,"no",998
27,51,"no",0,"yes","yes","yes","male","no",11,"no",1250
28,50,"no",0,"yes","yes","yes","male","no",11,"no",1437
29,52,"no",0,"yes","yes","yes","male","no",11,"no",1157
30,51,"yes",0,"yes","yes","yes","male","no",11,"no",1055
31,49,"no",0,"yes","yes","yes","male","no",11,"no",3125
2,25,"no",0,"yes","yes","no","male","no",16,"no",575
3,46,"no",0,"yes","yes","no","male","no",16,"no",675
4,50,"no",0,"yes","yes","no","male","no",16,"no",525
5,48,"no",0,"yes","yes","no","male","no",16,"no",800
6,47,"no",0,"yes","yes","no","male","no",16,"no",1266
7,47,"no",0,"yes","yes","no","male","no",16,"no",1333
8,48,"no",0,"yes","yes","no","male","no",16,"no",1400
40,51,"yes",0,"no","no","yes","male","no",10,"no",340
41,51,"yes",1,"no","no","yes","male","no",10,"no",340
42,50,"yes",1,"no","no","yes","male","no",10,"no",340
43,40,"yes",1,"no","no","yes","male","no",10,"no",345
44,36,"yes",1,"no","no","yes","male","no",10,"no",365
45,41,"yes",0,"no","no","yes","male","no",10,"no",420
46,51,"yes",0,"no","no","yes","male","no",10,"no",500
7,48,"yes",1,"no","no","yes","male","yes",14,"no",617
8,49,"yes",0,"no","no","yes","male","yes",14,"no",652
9,49,"yes",0,"no","no","yes","male","yes",14,"no",721
10,47,"yes",1,"no","no","yes","male","yes",14,"no",800
11,47,"yes",1,"no","no","yes","male","yes",14,"no",905
12,46,"yes",1,"no","no","yes","male","yes",14,"no",1016
13,48,"yes",1,"no","no","yes","male","yes",14,"no",1079
19,50,"yes",1,"no","yes","yes","male","no",12,"no",643
20,50,"yes",1,"no","yes","yes","male","no",12,"no",750
21,51,"yes",1,"no","yes","yes","male","no",12,"no",750
22,49,"yes",1,"no","yes","yes","male","no",12,"no",1000
23,49,"yes",1,"no","yes","yes","male","no",12,"no",1150
24,49,"yes",1,"no","yes","yes","male","no",12,"no",1421
25,51,"yes",1,"no","yes","yes","male","no",12,"no",1286
8,48,"yes",0,"no","yes","no","female","no",12,"no",336
9,46,"yes",0,"no","yes","no","female","no",12,"no",360
10,49,"yes",0,"no","yes","no","female","no",12,"no",403
11,49,"no",0,"no","yes","no","female","no",12,"no",431
12,49,"yes",0,"no","yes","no","female","no",12,"no",466
13,49,"yes",0,"no","yes","no","female","no",12,"no",540
14,48,"yes",0,"no","yes","no","female","no",12,"no",580
8,50,"yes",0,"no","yes","yes","male","yes",12,"no",570
9,50,"yes",0,"no","yes","yes","male","yes",12,"no",648
10,51,"yes",0,"no","yes","yes","male","yes",12,"no",920
11,50,"no",0,"no","yes","yes","male","yes",12,"no",990
12,49,"no",0,"no","yes","yes","male","yes",12,"no",1065
13,50,"yes",0,"no","yes","yes","male","yes",12,"no",1150
14,50,"yes",0,"no","yes","yes","male","yes",12,"no",1005
3,30,"yes",0,"no","yes","yes","male","no",11,"no",300
4,50,"yes",0,"no","yes","no","male","no",11,"no",400
5,48,"yes",0,"no","yes","yes","male","no",11,"no",500
6,48,"yes",0,"no","no","yes","male","no",11,"no",630
7,40,"yes",0,"no","yes","yes","male","no",11,"no",600
8,51,"yes",0,"no","yes","yes","male","no",11,"no",750
9,50,"yes",0,"no","yes","yes","male","no",11,"no",506
5,51,"no",0,"yes","yes","yes","male","yes",12,"no",450
6,51,"yes",0,"yes","yes","yes","male","yes",12,"no",500
7,49,"yes",0,"yes","yes","yes","male","yes",12,"no",523
8,50,"yes",0,"yes","yes","yes","male","yes",12,"no",548
9,50,"yes",0,"yes","yes","yes","male","yes",12,"no",606
10,50,"yes",0,"yes","yes","yes","male","no",12,"no",654
11,51,"yes",1,"yes","yes","yes","male","yes",12,"no",750
4,49,"yes",0,"yes","yes","yes","male","no",12,"no",535
5,48,"yes",0,"yes","yes","yes","male","no",12,"no",595
6,48,"yes",0,"yes","yes","yes","male","no",12,"no",636
7,49,"yes",0,"yes","no","yes","male","no",12,"no",786
8,49,"yes",0,"yes","no","yes","male","no",12,"no",930
9,49,"yes",0,"yes","no","yes","male","no",12,"no",1000
10,48,"yes",0,"yes","no","yes","male","no",12,"no",1070
6,49,"no",0,"no","yes","yes","male","no",14,"no",329
7,50,"no",0,"no","yes","yes","male","no",14,"no",396
8,49,"no",0,"no","yes","yes","male","no",14,"no",420
9,49,"no",0,"no","yes","yes","male","no",14,"no",479
10,49,"no",0,"no","yes","yes","male","no",14,"no",539
11,49,"no",0,"no","yes","yes","male","no",14,"no",599
12,49,"no",0,"no","yes","yes","male","no",14,"no",719
2,50,"no",0,"no","yes","no","male","no",12,"no",500
3,50,"no",0,"no","yes","yes","male","no",12,"no",525
4,45,"no",0,"no","yes","yes","male","no",12,"no",550
5,48,"no",0,"no","yes","yes","male","no",12,"no",650
6,51,"no",0,"no","yes","yes","male","no",12,"no",600
7,51,"no",0,"no","yes","yes","male","no",12,"no",800
8,50,"no",0,"no","yes","yes","male","no",12,"no",800
10,30,"yes",0,"no","no","yes","male","no",12,"no",375
11,52,"yes",0,"no","no","yes","male","no",12,"no",400
12,52,"yes",0,"no","no","yes","male","no",12,"no",450
