"age","height","income"
31,63,-1
27,63,-1
43,69,-1
43,71,-1
24,69,-1
34,67,-1
30,66,-1
59,62,-1
33,72,-1
41,69,-1
58,69,-1
24,59,-1
39,74,-1
33,70,1e+06
43,65,-1
29,70,60000
28,66,-1
21,70,-1
35,64,-1
32,69,-1
42,63,-1
23,62,20000
30,68,-1
27,71,-1
41,71,-1
33,69,-1
58,70,-1
26,72,-1
50,66,-1
45,65,-1
66,65,40000
33,68,80000
32,68,-1
53,62,1e+05
28,72,-1
22,63,-1
19,73,-1
35,67,30000
51,65,-1
30,69,60000
29,80,80000
32,61,1e+05
45,63,-1
28,73,30000
36,63,-1
40,71,-1
34,62,60000
24,68,-1
39,72,50000
33,65,-1
26,67,-1
36,67,80000
46,68,-1
21,67,-1
63,67,-1
30,62,-1
50,63,-1
50,64,70000
34,72,-1
40,62,-1
46,66,-1
41,67,-1
29,62,-1
53,69,-1
39,69,80000
39,64,-1
24,62,-1
26,70,-1
25,64,-1
59,63,-1
28,67,-1
29,68,-1
35,67,-1
25,65,-1
36,67,-1
42,64,80000
25,71,-1
27,80,-1
45,60,-1
37,71,-1
47,69,50000
24,67,-1
53,64,-1
26,62,-1
49,63,-1
24,61,-1
19,69,-1
26,76,20000
30,70,-1
26,72,-1
36,63,-1
24,69,-1
47,72,-1
51,70,-1
28,73,80000
48,62,-1
37,62,-1
47,72,-1
34,66,1e+06
37,65,-1
25,70,-1
32,71,-1
42,71,-1
33,64,40000
34,63,-1
42,75,20000
29,70,-1
55,73,-1
32,68,60000
25,69,-1
31,64,-1
45,68,80000
39,68,-1
50,74,-1
29,61,-1
50,66,-1
43,62,-1
63,67,-1
35,72,-1
19,67,-1
62,64,-1
44,68,-1
30,63,-1
24,69,-1
40,68,-1
63,65,-1
45,66,1e+05
53,62,-1
36,72,-1
22,70,40000
19,69,-1
32,64,-1
61,63,70000
20,60,-1
34,65,150000
34,67,-1
36,72,-1
29,71,-1
30,73,-1
40,68,-1
28,62,-1
20,69,-1
40,71,-1
43,66,-1
19,72,-1
60,68,-1
66,73,-1
39,67,-1
28,75,-1
34,74,-1
32,74,20000
34,68,40000
29,64,-1
26,75,-1
43,63,-1
44,65,-1
32,72,30000
37,68,-1
30,69,-1
26,73,-1
23,70,-1
31,69,-1
34,73,70000
48,69,70000
35,71,-1
25,73,-1
27,63,-1
27,67,-1
22,64,-1
35,71,50000
26,72,-1
32,74,-1
32,72,40000
23,71,-1
40,64,-1
47,66,-1
31,74,40000
30,68,-1
25,70,-1
33,68,-1
54,76,-1
30,72,-1
45,70,1e+05
30,67,-1
49,64,-1
32,68,-1
24,66,-1
57,69,-1
41,72,-1
37,61,-1
35,74,-1
40,64,-1
50,66,-1
40,73,-1
37,76,20000
60,71,-1
47,69,-1
29,71,-1
29,71,30000
22,91,150000
44,74,-1
57,62,-1
43,67,-1
20,62,-1
29,71,-1
30,70,60000
25,72,150000
39,72,-1
41,64,-1
30,72,50000
23,68,-1
49,68,-1
59,71,-1
39,66,-1
38,67,-1
59,68,-1
26,61,-1
33,73,-1
46,71,-1
36,71,-1
40,64,-1
29,72,-1
30,67,-1
30,65,-1
33,74,-1
29,68,-1
23,61,-1
33,71,-1
28,67,-1
31,65,20000
29,79,-1
44,61,-1
28,66,-1
47,76,60000
24,69,-1
28,70,-1
40,65,-1
24,72,-1
20,71,-1
39,71,-1
52,62,70000
39,70,-1
33,72,-1
26,70,-1
31,69,-1
27,71,-1
60,70,-1
52,65,-1
42,64,-1
31,68,-1
38,68,-1
26,67,-1
32,64,-1
40,72,-1
32,61,-1
31,64,30000
32,72,-1
22,64,-1
37,70,-1
33,63,-1
44,72,1e+05
18,66,-1
38,65,-1
23,64,-1
33,65,-1
24,64,-1
32,64,-1
27,63,-1
39,63,-1
47,66,1e+05
33,70,1e+05
38,70,-1
42,67,-1
42,70,-1
21,68,-1
35,73,1e+05
38,64,-1
34,64,-1
27,71,-1
29,71,-1
27,62,-1
23,67,-1
33,67,-1
25,70,250000
31,66,-1
24,72,20000
49,70,-1
23,72,20000
23,66,20000
22,63,-1
48,70,-1
27,71,-1
30,68,-1
59,64,60000
27,70,30000
24,68,-1
32,69,-1
24,74,-1
32,72,-1
30,75,1e+05
40,65,-1
18,73,20000
29,69,-1
32,62,-1
27,64,-1
56,68,-1
35,70,-1
20,67,20000
30,72,-1
43,69,-1
27,68,60000
30,71,-1
58,72,-1
31,68,-1
34,72,-1
41,75,-1
27,67,-1
37,68,-1
35,67,-1
26,73,-1
28,72,-1
32,76,60000
38,68,-1
42,72,-1
25,67,-1
34,66,-1
46,71,-1
31,69,50000
26,64,20000
37,75,50000
28,69,-1
21,67,-1
50,70,-1
24,71,-1
24,74,-1
32,69,-1
50,68,1e+05
33,60,-1
38,68,-1
49,70,-1
35,70,-1
20,60,-1
22,67,-1
32,83,70000
25,70,-1
26,59,-1
23,71,20000
43,77,-1
28,69,1e+05
44,76,-1
22,71,-1
31,68,-1
65,70,-1
36,70,-1
35,62,-1
40,70,-1
30,66,-1
26,72,-1
23,73,-1
27,68,-1
36,72,-1
41,66,-1
45,70,-1
48,68,-1
26,76,-1
23,67,30000
28,68,-1
29,74,-1
42,67,-1
33,60,-1
52,70,70000
25,63,30000
61,68,-1
28,71,-1
35,73,30000
34,72,-1
59,68,70000
31,77,-1
19,73,20000
29,68,-1
55,66,-1
45,65,-1
49,69,-1
21,71,-1
27,61,-1
24,68,-1
25,63,-1
44,63,-1
52,72,-1
30,66,40000
58,64,-1
33,63,-1
44,68,-1
31,69,-1
38,67,80000
47,63,-1
29,74,-1
28,68,-1
40,67,-1
64,67,-1
52,63,-1
37,64,-1
33,67,-1
58,72,-1
43,72,150000
27,65,-1
57,68,-1
64,69,60000
41,69,-1
35,74,1e+05
26,73,-1
52,72,-1
45,63,-1
24,68,-1
26,68,-1
25,75,-1
35,73,-1
25,68,-1
33,67,-1
41,73,1e+05
26,64,50000
27,71,-1
25,64,-1
39,63,-1
35,71,-1
30,64,-1
21,74,-1
48,69,-1
25,73,-1
27,71,-1
20,73,-1
31,74,20000
37,68,-1
55,64,-1
37,65,-1
24,74,-1
32,64,-1
18,70,-1
19,75,-1
22,61,-1
23,70,-1
36,70,-1
19,63,-1
30,71,-1
43,62,-1
19,70,-1
36,69,-1
32,68,-1
32,71,-1
33,61,-1
27,69,-1
30,68,-1
26,71,-1
34,71,1e+05
23,72,-1
38,69,250000
57,66,30000
31,70,-1
41,70,-1
30,73,-1
27,73,80000
33,69,-1
33,67,-1
38,69,-1
45,68,-1
36,67,60000
32,70,-1
28,70,-1
34,62,-1
30,64,-1
34,69,-1
61,68,-1
31,68,-1
21,70,-1
38,68,-1
24,67,-1
31,63,-1
34,66,-1
33,70,-1
27,72,-1
31,70,-1
45,75,-1
33,71,-1
27,63,-1
41,71,70000
29,72,-1
25,76,-1
47,68,-1
30,70,1e+05
21,73,20000
29,70,70000
32,68,-1
33,67,-1
42,69,-1
23,72,5e+05
23,74,-1
43,64,-1
23,63,-1
28,67,-1
38,67,-1
26,72,-1
39,74,-1
28,72,-1
20,65,-1
46,62,-1
28,69,50000
29,73,40000
30,70,40000
36,67,20000
34,69,-1
39,72,-1
33,74,-1
22,67,50000
39,72,-1
40,70,-1
34,64,-1
26,74,-1
30,73,-1
38,65,-1
38,70,50000
25,64,-1
36,62,30000
24,64,-1
35,67,-1
27,74,-1
32,67,-1
40,68,-1
33,64,60000
33,73,-1
32,66,-1
34,72,-1
24,69,50000
25,62,-1
31,69,40000
35,75,-1
22,68,60000
23,64,-1
23,70,20000
36,69,-1
26,76,-1
47,73,-1
39,60,-1
26,70,-1
34,64,-1
24,64,-1
34,71,-1
50,68,-1
30,70,-1
28,71,-1
32,69,-1
38,68,50000
25,64,-1
24,72,-1
27,73,20000
32,69,-1
31,69,-1
40,67,-1
30,65,-1
29,69,-1
27,69,-1
27,72,-1
23,68,-1
26,74,-1
40,75,-1
25,68,20000
37,73,-1
35,60,-1
31,73,-1
28,69,-1
23,70,-1
38,68,-1
23,71,-1
30,72,-1
22,71,-1
27,74,40000
25,68,50000
26,68,-1
25,70,-1
35,60,-1
30,70,-1
24,74,40000
43,68,-1
26,72,-1
48,71,-1
29,69,-1
28,69,-1
36,64,-1
46,65,-1
23,76,-1
25,74,-1
59,70,20000
19,70,-1
31,73,-1
33,63,1e+05
26,71,-1
21,66,40000
38,74,30000
31,69,-1
21,67,20000
49,64,-1
19,73,-1
23,69,-1
42,68,-1
42,72,-1
46,68,-1
53,68,-1
51,68,-1
37,64,-1
32,66,40000
24,64,-1
29,72,50000
25,70,-1
25,65,60000
23,67,-1
35,73,1e+05
45,76,-1
33,68,-1
26,70,-1
30,71,-1
34,68,-1
30,70,-1
25,72,-1
43,74,-1
20,67,20000
27,70,80000
23,71,-1
27,72,-1
31,68,-1
23,71,1e+06
28,72,-1
27,70,-1
26,65,-1
47,72,-1
21,68,-1
25,72,1e+05
28,63,-1
40,69,-1
22,75,-1
40,66,-1
29,72,-1
31,70,-1
36,74,-1
26,72,-1
39,68,-1
44,69,150000
48,65,-1
35,71,-1
28,64,-1
30,72,-1
25,70,1e+05
30,70,20000
27,69,-1
36,67,-1
29,64,-1
39,68,150000
32,73,30000
33,66,-1
36,61,-1
25,76,-1
27,75,-1
29,72,-1
30,70,-1
31,66,-1
26,69,-1
24,63,-1
34,66,-1
24,68,30000
27,73,-1
22,73,1e+05
29,64,-1
23,68,-1
22,68,-1
21,67,-1
25,67,1e+05
32,70,-1
32,63,50000
28,72,-1
30,72,-1
26,67,-1
21,66,-1
20,63,-1
36,73,150000
27,65,-1
27,76,-1
25,66,-1
44,74,-1
40,65,-1
21,71,-1
31,68,-1
33,70,-1
29,62,-1
27,65,20000
25,67,-1
31,64,-1
23,62,-1
26,66,-1
25,70,-1
21,66,20000
22,67,-1
32,72,-1
24,67,-1
27,73,-1
38,65,-1
28,72,-1
32,66,-1
24,67,-1
23,58,-1
45,62,-1
47,69,-1
35,72,-1
42,67,50000
37,70,-1
34,64,40000
26,70,-1
29,66,-1
26,70,-1
22,64,-1
36,70,-1
28,66,-1
28,69,-1
41,73,80000
24,65,-1
24,66,-1
27,72,-1
32,66,-1
27,61,-1
24,67,-1
23,74,-1
27,64,-1
26,74,-1
41,67,-1
34,68,1e+05
40,70,1e+05
24,65,-1
23,71,1e+06
30,64,-1
27,67,-1
29,64,-1
29,66,-1
31,71,1e+06
38,67,-1
28,73,80000
33,66,150000
28,74,-1
35,67,-1
25,66,-1
31,71,40000
28,69,-1
30,71,-1
26,68,-1
23,61,-1
43,75,-1
24,66,-1
35,74,-1
30,69,20000
23,62,-1
21,65,-1
40,60,-1
26,74,-1
23,68,-1
23,64,-1
34,73,20000
33,64,-1
25,67,-1
28,73,60000
34,66,-1
21,60,20000
23,70,-1
30,69,-1
31,67,-1
37,72,-1
32,71,-1
23,65,-1
28,72,-1
24,65,-1
40,71,-1
27,66,-1
43,69,-1
27,66,-1
27,74,-1
23,73,-1
30,64,-1
30,64,-1
29,70,-1
22,66,-1
41,74,-1
23,66,-1
25,66,-1
31,68,-1
22,61,20000
30,68,-1
30,72,-1
26,72,-1
40,67,150000
31,59,-1
34,68,-1
36,65,-1
34,66,-1
23,74,-1
23,67,-1
45,72,-1
35,71,-1
20,66,-1
39,66,1e+05
39,67,1e+05
35,67,-1
33,64,-1
35,71,-1
32,72,-1
29,64,-1
30,69,-1
27,62,-1
29,67,-1
25,69,-1
31,70,-1
22,70,-1
42,72,-1
30,69,-1
38,67,50000
39,74,-1
47,72,-1
35,72,-1
42,71,-1
24,67,-1
43,71,-1
31,66,70000
26,70,60000
27,65,-1
38,67,-1
25,69,-1
47,71,150000
26,65,80000
25,66,-1
29,70,1e+06
36,71,-1
30,69,-1
24,62,-1
33,65,-1
31,64,-1
34,71,-1
38,66,-1
30,65,20000
35,66,-1
37,60,-1
32,72,-1
28,76,-1
32,68,-1
25,66,-1
40,62,-1
26,64,-1
37,67,-1
26,72,-1
26,73,-1
41,74,-1
26,63,-1
29,68,-1
28,65,-1
37,73,-1
33,65,-1
37,72,1e+05
25,66,-1
28,75,1e+05
28,64,-1
33,67,-1
25,62,-1
26,68,40000
40,75,250000
34,70,-1
28,68,-1
34,75,-1
23,66,-1
25,72,50000
30,66,-1
35,66,1e+05
31,74,-1
26,68,-1
26,66,-1
23,68,-1
25,61,-1
23,66,-1
45,72,-1
31,64,-1
26,67,-1
21,68,20000
37,73,-1
26,63,-1
45,68,-1
27,70,-1
27,67,-1
21,69,-1
30,67,-1
25,67,-1
23,72,-1
22,69,-1
36,74,1e+05
35,72,-1
26,71,-1
47,72,-1
32,74,150000
35,66,-1
29,72,-1
26,63,1e+05
24,70,-1
35,73,-1
24,67,-1
64,67,-1
23,65,20000
27,69,-1
24,68,20000
33,67,-1
56,70,-1
49,73,-1
28,74,-1
32,76,-1
38,68,-1
31,63,-1
28,71,-1
33,73,-1
41,67,-1
27,68,-1
37,69,150000
30,69,-1
28,71,-1
35,75,250000
34,67,-1
28,69,1e+05
42,67,-1
28,71,80000
27,62,-1
43,71,150000
24,66,20000
24,64,30000
30,65,-1
40,70,-1
22,66,-1
37,70,-1
44,71,1e+05
31,69,-1
48,70,-1
28,63,-1
29,70,-1
38,68,1e+05
44,71,-1
31,72,-1
49,64,-1
23,64,-1
33,67,-1
27,69,-1
37,68,-1
28,71,-1
18,71,20000
30,72,-1
33,71,-1
25,64,-1
21,71,20000
28,73,30000
31,70,-1
23,69,-1
43,69,70000
37,68,-1
45,71,-1
34,68,-1
63,72,-1
25,69,30000
28,67,-1
29,62,-1
29,66,-1
25,70,-1
24,71,-1
30,69,250000
40,67,-1
36,64,-1
40,71,-1
25,65,-1
25,70,80000
31,61,-1
26,67,20000
27,75,-1
23,65,-1
30,74,-1
25,62,-1
34,67,50000
30,63,-1
27,74,50000
19,59,-1
23,65,-1
30,62,-1
27,63,-1
25,70,40000
24,69,-1
42,66,-1
27,71,20000
25,70,80000
28,73,-1
28,69,-1
25,73,-1
36,71,-1
20,71,-1
19,71,-1
23,76,-1
36,71,50000
25,71,-1
37,72,-1
37,72,-1
25,74,-1
37,73,-1
39,67,-1
42,73,-1
45,66,20000
31,69,-1
24,72,-1
36,69,-1
29,71,80000
30,72,-1
23,72,-1
29,71,30000
30,70,-1
24,68,80000
33,68,20000
25,70,20000
27,70,-1
25,72,1e+06
24,66,-1
28,71,20000
26,68,-1
22,71,-1
32,77,-1
28,70,50000
18,66,-1
40,68,-1
25,67,-1
31,74,-1
23,72,-1
21,72,20000
35,73,-1
37,71,-1
20,72,40000
20,68,-1
24,72,1e+05
23,70,-1
23,72,-1
37,69,-1
23,71,-1
18,69,-1
25,70,-1
25,71,-1
28,70,-1
26,78,-1
31,70,80000
33,69,-1
32,67,-1
31,65,-1
24,71,-1
33,66,1e+05
35,66,-1
19,69,20000
26,67,1e+06
31,72,-1
32,66,-1
29,72,-1
48,73,-1
25,75,-1
29,71,-1
35,63,-1
28,71,-1
24,70,-1
18,71,-1
64,68,-1
30,64,-1
23,62,-1
41,62,-1
21,69,-1
30,66,-1
56,69,-1
30,63,-1
33,66,-1
37,67,-1
26,66,-1
24,70,80000
25,68,1e+06
26,66,-1
41,63,-1
59,68,-1
32,66,-1
29,69,-1
35,69,-1
58,63,-1
34,66,-1
29,66,-1
37,63,-1
22,74,-1
45,65,-1
20,74,-1
33,75,-1
42,70,70000
25,68,-1
22,72,20000
30,67,-1
25,71,60000
25,64,-1
30,71,-1
25,68,-1
22,71,-1
34,72,-1
39,69,-1
31,70,-1
46,71,-1
29,73,250000
30,72,-1
37,72,-1
35,72,-1
32,66,-1
28,69,-1
31,68,-1
36,73,-1
22,67,-1
43,71,-1
37,72,70000
60,68,60000
25,70,-1
37,66,-1
40,68,-1
29,64,-1
25,73,-1
30,74,-1
27,68,-1
25,70,-1
31,69,-1
28,68,-1
26,68,-1
24,61,-1
26,64,-1
30,71,-1
29,72,150000
41,68,-1
45,68,-1
30,62,50000
26,70,-1
32,67,-1
26,64,-1
46,71,-1
31,72,-1
21,62,-1
33,72,-1
51,69,-1
31,73,-1
26,59,-1
68,75,-1
44,69,-1
38,70,-1
31,62,-1
29,62,-1
23,72,20000
23,72,-1
20,70,-1
29,72,60000
24,70,-1
27,70,-1
29,64,-1
32,72,-1
35,63,-1
23,75,20000
26,77,-1
21,72,1e+06
32,65,-1
36,60,-1
37,68,60000
22,65,-1
25,72,-1
38,58,-1
40,69,-1
39,70,-1
23,65,-1
25,68,-1
33,76,-1
28,68,-1
32,65,-1
26,69,-1
37,72,-1
28,71,-1
40,70,1e+05
28,64,-1
29,64,-1
23,69,20000
22,63,30000
38,67,-1
65,62,-1
31,68,1e+05
30,65,-1
41,68,-1
25,70,-1
25,64,-1
33,73,-1
26,64,-1
22,76,-1
42,66,-1
28,71,-1
27,64,-1
31,68,1e+06
45,66,-1
51,68,-1
30,74,-1
28,73,1e+05
32,70,50000
47,70,-1
28,74,-1
27,67,-1
27,67,-1
35,65,-1
23,64,-1
25,71,80000
38,64,50000
32,68,-1
33,69,-1
57,62,-1
40,65,-1
25,68,-1
30,65,-1
26,72,-1
30,64,-1
26,68,-1
27,72,40000
18,63,-1
59,66,-1
32,67,-1
35,67,-1
38,76,-1
25,70,-1
24,71,-1
20,73,-1
26,70,-1
25,67,20000
29,72,-1
47,72,-1
33,68,-1
29,68,-1
36,73,-1
27,67,-1
26,70,-1
26,70,-1
27,60,-1
25,67,-1
43,65,20000
38,72,1e+05
27,68,-1
37,64,-1
21,77,-1
23,63,-1
38,72,20000
29,69,-1
34,76,-1
41,68,-1
27,71,70000
24,70,-1
25,67,-1
23,68,-1
20,72,-1
26,64,-1
24,71,20000
19,62,-1
63,66,-1
21,72,-1
28,69,-1
28,66,-1
25,70,-1
33,67,-1
29,67,-1
44,67,-1
49,70,-1
27,63,70000
26,70,-1
36,62,-1
43,73,-1
21,72,20000
31,73,150000
41,74,-1
34,75,-1
22,65,-1
48,71,-1
29,60,-1
23,72,-1
25,70,-1
29,66,-1
24,66,-1
37,70,-1
24,62,-1
44,64,-1
32,68,70000
40,65,-1
30,73,-1
26,71,-1
32,71,-1
24,68,-1
23,74,-1
27,68,80000
32,65,-1
26,77,-1
25,67,-1
34,68,-1
24,72,-1
42,68,-1
44,73,-1
31,65,-1
48,71,80000
59,67,-1
43,66,-1
36,74,-1
29,70,60000
33,71,-1
29,61,-1
27,75,-1
64,73,-1
25,70,-1
38,66,-1
37,62,-1
61,64,150000
24,74,20000
26,72,-1
35,68,-1
33,67,-1
33,72,-1
27,65,-1
40,64,-1
32,76,-1
27,69,-1
31,78,-1
29,73,-1
31,70,-1
34,71,-1
60,69,-1
23,69,-1
32,71,-1
26,68,-1
21,68,-1
32,74,-1
26,67,-1
21,63,-1
33,70,-1
24,70,-1
31,67,-1
32,71,-1
24,66,-1
23,72,30000
28,63,-1
25,70,20000
35,69,-1
27,75,-1
26,68,-1
26,68,-1
27,69,70000
31,70,-1
28,73,-1
34,72,-1
28,71,-1
41,68,-1
25,72,30000
25,72,30000
23,71,60000
37,72,-1
38,67,50000
27,72,-1
35,72,-1
34,68,30000
28,71,-1
24,70,-1
25,70,20000
26,70,-1
28,67,-1
20,71,-1
29,68,-1
38,70,-1
30,66,-1
24,75,-1
25,78,-1
24,72,1e+05
24,66,-1
24,73,40000
25,70,-1
35,71,50000
27,71,-1
22,72,-1
27,76,-1
27,73,-1
40,70,-1
28,72,-1
30,70,-1
33,72,-1
27,72,1e+06
29,68,-1
43,74,-1
26,70,-1
33,70,-1
29,69,-1
26,68,-1
29,75,-1
25,70,-1
36,74,1e+05
28,74,-1
39,74,-1
30,72,-1
23,74,-1
27,70,-1
23,64,40000
39,69,40000
31,70,60000
37,70,1e+05
42,67,60000
62,72,-1
26,71,-1
41,73,-1
32,71,-1
41,70,1e+05
22,69,-1
25,72,-1
47,73,-1
35,68,-1
36,71,-1
33,72,40000
25,71,-1
27,71,250000
28,69,1e+05
26,66,-1
24,70,50000
19,70,-1
21,64,-1
32,72,-1
25,68,-1
27,69,-1
38,71,30000
28,66,-1
35,67,-1
28,65,-1
27,70,-1
25,70,-1
24,64,-1
28,71,-1
35,72,150000
29,71,-1
32,68,80000
43,71,40000
27,75,80000
28,73,-1
44,71,-1
51,71,20000
33,67,-1
39,69,-1
24,69,-1
29,73,-1
37,69,-1
27,67,20000
25,62,-1
28,67,-1
37,67,60000
31,63,-1
24,71,-1
30,70,-1
42,65,40000
30,70,-1
24,68,-1
33,70,-1
26,66,-1
32,65,-1
44,62,-1
29,61,-1
27,70,1e+06
26,73,-1
37,69,1e+05
25,70,-1
30,68,-1
28,67,-1
27,65,-1
25,67,-1
22,69,80000
26,69,-1
28,72,50000
48,65,-1
36,75,150000
26,71,-1
28,63,-1
30,74,40000
23,66,-1
33,62,-1
47,66,-1
53,62,-1
38,64,1e+06
39,70,-1
25,62,-1
25,73,-1
32,63,-1
25,70,-1
28,68,80000
24,66,-1
28,61,-1
22,70,-1
32,74,70000
32,66,-1
25,62,-1
34,65,-1
22,68,-1
27,66,-1
22,69,1e+06
29,71,-1
39,69,20000
39,68,-1
35,70,50000
19,64,20000
24,69,-1
26,71,-1
25,64,-1
21,65,-1
41,70,-1
30,64,-1
36,62,-1
26,63,-1
28,63,30000
25,70,-1
22,66,-1
34,70,-1
30,72,-1
35,67,-1
32,68,-1
21,70,-1
32,67,-1
43,72,-1
29,68,-1
27,73,-1
61,67,-1
24,63,-1
39,71,-1
38,72,-1
39,69,-1
26,59,50000
31,73,-1
34,72,-1
30,72,-1
26,74,-1
41,65,-1
57,69,1e+05
58,67,-1
34,72,-1
40,69,-1
33,73,-1
25,65,40000
31,70,-1
40,72,-1
31,71,-1
47,69,1e+05
27,66,-1
33,68,-1
45,66,1e+05
38,64,-1
35,67,-1
45,72,1e+05
29,63,-1
27,70,80000
29,74,1e+06
26,64,-1
64,70,-1
38,70,-1
25,66,-1
31,74,70000
29,63,-1
25,65,1e+06
58,68,-1
31,65,-1
26,72,-1
27,60,-1
34,65,80000
27,67,-1
26,63,-1
38,70,-1
33,74,-1
24,62,-1
45,75,-1
26,70,-1
28,69,-1
33,66,-1
27,67,20000
29,65,-1
50,70,-1
38,72,-1
42,64,-1
26,70,-1
31,70,-1
20,59,-1
29,72,-1
39,68,-1
32,70,-1
27,69,20000
25,72,-1
56,67,-1
26,72,-1
23,69,-1
22,68,-1
26,70,20000
23,63,20000
30,65,1e+06
26,64,-1
22,70,-1
20,68,-1
26,69,-1
21,73,-1
26,72,50000
36,67,-1
39,64,-1
28,67,-1
27,62,-1
31,71,1e+05
57,71,-1
28,69,-1
41,74,-1
38,69,150000
24,60,-1
44,75,-1
36,71,-1
25,72,-1
29,67,-1
37,67,-1
26,64,-1
31,68,-1
22,71,-1
30,69,-1
39,69,-1
27,70,150000
40,70,-1
31,74,-1
34,69,80000
29,67,-1
25,73,-1
31,69,-1
20,66,20000
39,69,-1
22,71,-1
32,65,-1
31,66,-1
28,65,-1
23,68,1e+05
28,66,-1
34,67,-1
38,62,40000
32,70,-1
39,72,-1
27,69,-1
43,70,-1
33,61,-1
26,68,-1
28,68,-1
29,67,-1
20,67,-1
29,70,-1
31,64,40000
28,69,-1
59,65,-1
37,63,-1
26,62,-1
26,72,-1
42,63,-1
23,69,-1
27,66,40000
31,68,60000
26,72,-1
25,74,-1
42,63,-1
33,67,-1
21,67,20000
25,62,-1
27,73,-1
29,72,-1
46,73,-1
41,69,-1
32,64,-1
35,69,-1
45,71,80000
30,70,-1
25,59,30000
35,68,-1
22,65,-1
30,70,-1
24,75,-1
25,76,80000
42,69,-1
20,66,-1
37,60,-1
57,62,-1
35,65,-1
23,69,-1
36,67,-1
28,64,-1
32,74,-1
23,65,-1
22,74,-1
27,67,-1
34,64,-1
43,70,-1
30,69,-1
44,67,-1
32,69,-1
64,70,50000
32,66,-1
33,71,-1
22,65,-1
29,67,-1
26,62,-1
22,62,-1
25,72,20000
49,69,-1
27,75,-1
24,70,-1
37,60,-1
38,70,-1
21,64,-1
36,64,-1
27,70,-1
29,77,-1
33,64,-1
29,68,-1
37,68,-1
59,70,-1
34,69,-1
26,83,-1
39,72,-1
24,64,-1
39,71,-1
50,73,150000
22,69,-1
35,68,1e+05
34,69,-1
25,70,-1
32,68,-1
29,72,-1
30,67,70000
25,65,-1
34,68,-1
22,64,20000
25,70,20000
27,69,50000
25,72,-1
33,71,-1
26,67,-1
65,73,-1
39,62,-1
68,74,-1
24,68,-1
23,65,-1
27,74,30000
23,71,-1
27,74,-1
61,66,50000
21,65,-1
48,66,-1
40,72,-1
22,65,-1
42,62,-1
24,70,20000
20,64,-1
24,63,-1
27,69,20000
60,67,-1
48,77,60000
27,69,-1
31,63,-1
23,62,-1
40,62,-1
23,72,-1
37,65,-1
22,65,-1
19,62,-1
25,68,-1
30,64,-1
19,72,-1
18,66,-1
37,62,-1
